company_code,best_method,mae_M3b_Damp-IPF,mae_M3_IPF,mae_M2c_ZIP-Tract,mae_M3c_Var-Damp-IPF,mae_M1b_Learned-Wt,naics_group,region,urbanicity,size_bucket,county_minority_share,acs_lodes_disagreement,has_tract_data,is_finance_insurance,is_admin_staffing,is_healthcare
N11890,M3c Var-Damp-IPF,11.98,17.77,11.47,11.44,11.5,Finance/Insurance (52),West,Urban,10000+,0.2974,11.180000000000007,1,1,0,0
CB6134,M1b Learned-Wt,26.07,28.41,25.21,25.09,24.16,Finance/Insurance (52),Northeast,Urban,100-999,0.3612,18.270000000000003,1,1,0,0
6427,M1b Learned-Wt,1.64,5.03,1.55,1.42,1.23,Finance/Insurance (52),Northeast,Urban,10000+,0.1597,2.6099999999999994,1,1,0,0
P00959,M3 IPF,1.22,0.72,1.85,0.99,1.2,Finance/Insurance (52),Northeast,Rural,100-999,0.0299,9.400000000000006,1,1,0,0
E01544,M3c Var-Damp-IPF,1.21,0.98,1.77,0.75,1.13,Finance/Insurance (52),Northeast,Rural,100-999,0.0404,8.349999999999994,1,1,0,0
790870,M3 IPF,1.28,0.75,1.89,0.8,1.28,Finance/Insurance (52),Northeast,Rural,100-999,0.0327,9.120000000000005,1,1,0,0
X11803,M1b Learned-Wt,5.32,10.86,4.42,4.34,3.36,Finance/Insurance (52),Northeast,Urban,10000+,0.3612,18.270000000000003,1,1,0,0
R60709,M3 IPF,2.35,0.2,2.61,1.97,2.29,Finance/Insurance (52),Northeast,Rural,100-999,0.0535,7.040000000000006,1,1,0,0
D14098,M1b Learned-Wt,14.79,18.29,13.9,13.81,12.83,Finance/Insurance (52),Northeast,Urban,1k-9999,0.3612,18.270000000000003,1,1,0,0
91654,M3b Damp-IPF,1.57,6.31,1.83,2.17,2.63,Finance/Insurance (52),Northeast,Urban,10000+,0.3612,9.509999999999998,1,1,0,0
9574,M1b Learned-Wt,3.19,7.07,3.25,2.54,2.3,Finance/Insurance (52),South,Urban,1k-9999,0.4764,5.049999999999997,1,1,0,0
T51107,M1b Learned-Wt,25.98,28.73,25.58,25.24,25.02,Finance/Insurance (52),West,Urban,100-999,0.2974,10.690000000000005,1,1,0,0
A75198,M1b Learned-Wt,12.84,18.88,12.04,12.11,11.66,Finance/Insurance (52),South,Urban,100-999,0.3084,0.46999999999999886,1,1,0,0
A01350,M1b Learned-Wt,24.06,27.08,23.66,23.32,23.08,Finance/Insurance (52),West,Urban,1k-9999,0.2974,10.690000000000005,1,1,0,0
556063,M3c Var-Damp-IPF,14.67,20.4,14.23,13.96,13.98,Finance/Insurance (52),West,Urban,100-999,0.2974,10.690000000000005,1,1,0,0
BT2088,M1b Learned-Wt,17.67,20.76,17.94,17.13,16.98,Finance/Insurance (52),South,Urban,100-999,0.475,0.6199999999999974,1,1,0,0
A08618,M3c Var-Damp-IPF,18.82,23.4,19.77,18.4,18.61,Finance/Insurance (52),South,Urban,1-99,0.367,10.960000000000008,1,1,0,0
502194,M1b Learned-Wt,11.27,10.6,10.79,9.55,8.92,Finance/Insurance (52),West,Urban,1k-9999,0.7755,8.959999999999999,1,1,0,0
761156,M1b Learned-Wt,9.69,15.66,8.12,8.08,7.13,Finance/Insurance (52),West,Urban,1k-9999,0.4327,2.8400000000000034,1,1,0,0
DU1977,M1b Learned-Wt,6.31,11.78,5.94,5.85,5.25,Finance/Insurance (52),South,Urban,100-999,0.3783,8.489999999999995,1,1,0,0
R01482,M1b Learned-Wt,12.24,17.78,10.24,9.45,8.2,Finance/Insurance (52),South,Urban,100-999,0.4845,35.84,1,1,0,0
602688,M1b Learned-Wt,9.95,16.23,9.46,8.32,7.75,Finance/Insurance (52),West,Urban,1k-9999,0.4375,2.8299999999999983,1,1,0,0
A03315,M1b Learned-Wt,9.49,16.15,8.13,7.83,7.14,Finance/Insurance (52),West,Urban,100-999,0.4327,2.8400000000000034,1,1,0,0
A29162,M1b Learned-Wt,10.39,15.79,10.69,10.16,10.09,Finance/Insurance (52),South,Urban,100-999,0.2283,2.769999999999996,1,1,0,0
64215,M1b Learned-Wt,8.62,12.85,8.12,7.65,7.1,Finance/Insurance (52),Midwest,Urban,10000+,0.2263,11.36,1,1,0,0
M63522,M3b Damp-IPF,3.22,4.75,3.71,3.22,3.54,Finance/Insurance (52),Midwest,Urban,10000+,0.2883,5.359999999999999,1,1,0,0
30053,M1b Learned-Wt,2.9,8.84,2.55,2.49,2.33,Finance/Insurance (52),South,Urban,10000+,0.3151,1.6200000000000045,1,1,0,0
770214,M1b Learned-Wt,4.89,10.46,4.19,3.79,3.23,Finance/Insurance (52),Midwest,Urban,10000+,0.2883,9.209999999999994,1,1,0,0
N17061,M3b Damp-IPF,3.31,8.02,5.55,4.04,6.01,Finance/Insurance (52),West,Urban,10000+,0.4375,3.3200000000000003,1,1,0,0
46595,M2c ZIP-Tract,2.82,4.67,2.65,2.86,3.03,Finance/Insurance (52),South,Urban,10000+,0.3605,4.939999999999998,1,1,0,0
G04807,M1b Learned-Wt,4.14,7.83,3.42,3.18,2.38,Finance/Insurance (52),Midwest,Urban,10000+,0.2103,8.269999999999996,1,1,0,0
H08279,M1b Learned-Wt,6.4,10.26,5.76,5.39,4.67,Finance/Insurance (52),Midwest,Urban,10000+,0.2103,5.650000000000006,1,1,0,0
P64806,M2c ZIP-Tract,1.12,5.31,0.7,0.91,1.21,Finance/Insurance (52),Midwest,Urban,10000+,0.2405,10.810000000000002,1,1,0,0
CG4214,M2c ZIP-Tract,6.68,13.39,6.1,6.39,6.42,Finance/Insurance (52),West,Urban,10000+,0.2974,11.180000000000007,1,1,0,0
C04496,M3 IPF,2.2,1.08,3.4,1.62,2.18,Finance/Insurance (52),Northeast,Rural,1k-9999,0.0694,10.909999999999997,1,1,0,0
AF0661,M3 IPF,2.05,0.07,2.79,1.59,2.24,Finance/Insurance (52),Midwest,Rural,1-99,0.0448,7.3999999999999915,1,1,0,0
L30448,M3 IPF,1.36,0.78,1.9,0.91,1.38,Finance/Insurance (52),Midwest,Rural,100-999,0.0458,7.299999999999997,1,1,0,0
FX5201,M3 IPF,6.27,1.26,7.13,5.37,5.65,Finance/Insurance (52),South,Rural,1-99,0.2752,13.270000000000003,1,1,0,0
A27286,M3c Var-Damp-IPF,0.9,1.03,1.4,0.62,0.97,Finance/Insurance (52),Midwest,Rural,100-999,0.0391,3.6200000000000045,1,1,0,0
A60430,M3 IPF,1.5,0.24,3.0,1.53,3.72,Finance/Insurance (52),Midwest,Rural,100-999,0.1509,10.730000000000004,1,1,0,0
A57505,M3 IPF,5.63,0.96,7.9,3.74,5.44,Finance/Insurance (52),South,Rural,1-99,0.0709,33.699999999999996,1,1,0,0
AF0037,M3 IPF,10.02,5.15,9.83,9.71,9.88,Finance/Insurance (52),South,Rural,100-999,0.3239,4.149999999999999,1,1,0,0
R50621,M3 IPF,1.66,0.84,2.07,1.19,1.56,Finance/Insurance (52),Midwest,Rural,1-99,0.05,8.239999999999995,1,1,0,0
E20799,M3 IPF,6.84,2.38,7.11,6.63,6.76,Finance/Insurance (52),South,Rural,100-999,0.336,2.940000000000005,1,1,0,0
C02657,M3 IPF,7.12,1.72,8.21,7.31,7.55,Finance/Insurance (52),South,Rural,100-999,0.3144,2.6599999999999966,1,1,0,0
CJ2160,M3 IPF,1.85,0.04,2.19,1.58,1.85,Finance/Insurance (52),Midwest,Rural,1-99,0.0409,4.8799999999999955,1,1,0,0
L31780,M1b Learned-Wt,1.19,2.22,1.73,1.19,1.15,Finance/Insurance (52),Midwest,Rural,100-999,0.0379,9.449999999999989,1,1,0,0
JG0544,M1b Learned-Wt,1.13,1.13,1.42,1.13,1.08,Finance/Insurance (52),Midwest,Rural,1-99,0.0273,4.030000000000001,1,1,0,0
L31631,M1b Learned-Wt,4.99,9.64,4.81,4.89,4.63,"Food/Bev Manufacturing (311,312)",South,Urban,100-999,0.1989,24.119999999999997,1,0,0,0
HL1463,M1b Learned-Wt,5.57,8.8,5.42,5.29,5.05,"Food/Bev Manufacturing (311,312)",Midwest,Urban,1k-9999,0.1611,0.7999999999999972,1,0,0,0
X12192,M3 IPF,3.65,2.56,4.45,3.54,3.8,"Food/Bev Manufacturing (311,312)",Midwest,Urban,1k-9999,0.2038,2.469999999999999,1,0,0,0
620132,M3b Damp-IPF,1.16,3.87,1.73,1.3,2.02,"Food/Bev Manufacturing (311,312)",Midwest,Urban,1k-9999,0.2123,2.950000000000003,1,0,0,0
X38781,M3 IPF,2.42,1.88,3.01,2.21,2.3,"Food/Bev Manufacturing (311,312)",Midwest,Urban,100-999,0.1176,5.6499999999999915,1,0,0,0
BF6959,M2c ZIP-Tract,10.81,17.22,9.05,10.66,9.86,Healthcare/Social (62),South,Urban,1k-9999,0.3061,6.880000000000003,1,0,0,1
P52764,M1b Learned-Wt,2.88,8.28,2.95,2.87,2.87,Healthcare/Social (62),South,Urban,100-999,0.2574,6.310000000000002,1,0,0,1
8764,M2c ZIP-Tract,3.92,9.81,3.31,4.29,4.22,Healthcare/Social (62),South,Urban,100-999,0.2664,11.399999999999999,1,0,0,1
M57085,M3c Var-Damp-IPF,2.87,4.0,3.3,2.4,3.06,Healthcare/Social (62),South,Urban,1k-9999,0.3233,11.670000000000002,1,0,0,1
BJ5754,M1b Learned-Wt,9.06,13.8,9.03,8.96,8.76,Healthcare/Social (62),South,Urban,100-999,0.2574,6.469999999999999,1,0,0,1
T01877,M3b Damp-IPF,7.53,11.01,7.54,8.55,8.91,Healthcare/Social (62),Northeast,Urban,100-999,0.1924,50.11000000000001,1,0,0,1
N53676,M1b Learned-Wt,5.5,8.51,4.89,5.45,4.51,Healthcare/Social (62),Midwest,Urban,100-999,0.1492,4.930000000000007,1,0,0,1
GE2392,M3c Var-Damp-IPF,0.56,5.48,0.84,0.41,0.62,Healthcare/Social (62),South,Urban,1k-9999,0.3122,11.079999999999998,1,0,0,1
B38786,M1b Learned-Wt,15.83,21.8,14.34,14.15,12.07,Healthcare/Social (62),West,Urban,100-999,0.7755,18.93,1,0,0,1
924661,M2c ZIP-Tract,2.46,7.99,1.75,3.14,2.7,Healthcare/Social (62),Northeast,Urban,100-999,0.1435,21.860000000000007,1,0,0,1
T51234,M2c ZIP-Tract,4.03,6.54,3.51,3.82,3.6,Information (51),Northeast,Urban,1k-9999,0.1836,0.269999999999996,1,0,0,0
G12230,M1b Learned-Wt,4.97,11.26,5.12,4.33,4.0,Information (51),South,Urban,100-999,0.3526,4.159999999999997,1,0,0,0
KJ3519,M1b Learned-Wt,7.48,11.73,7.24,7.32,6.83,Information (51),South,Suburban,1k-9999,0.1798,1.6500000000000057,1,0,0,0
DG6911,M1b Learned-Wt,6.48,10.46,6.37,6.36,6.2,Information (51),West,Urban,1k-9999,0.1783,3.6000000000000085,1,0,0,0
KG7998,M3c Var-Damp-IPF,3.64,4.73,5.47,3.6,5.24,Information (51),South,Urban,100-999,0.3224,0.6700000000000017,1,0,0,0
X10543,M3c Var-Damp-IPF,1.51,2.34,1.47,1.26,1.33,Metal/Machinery Mfg (331-333),Midwest,Suburban,100-999,0.1285,8.159999999999997,1,0,0,0
AA6701,M3c Var-Damp-IPF,1.76,2.39,2.38,1.44,2.08,Metal/Machinery Mfg (331-333),West,Urban,100-999,0.1235,3.5,1,0,0,0
L09810,M1b Learned-Wt,4.34,6.08,3.23,4.31,2.87,Metal/Machinery Mfg (331-333),West,Urban,100-999,0.2191,2.0900000000000034,1,0,0,0
CR6689,M3c Var-Damp-IPF,1.96,5.01,2.96,1.85,2.99,Metal/Machinery Mfg (331-333),Midwest,Urban,1k-9999,0.2883,3.489999999999995,1,0,0,0
BB8729,M3 IPF,2.51,1.29,3.45,2.13,2.88,Metal/Machinery Mfg (331-333),Midwest,Urban,100-999,0.0841,8.52000000000001,1,0,0,0
M50835,M3b Damp-IPF,1.16,1.36,2.33,1.16,2.68,Metal/Machinery Mfg (331-333),Northeast,Urban,100-999,0.1597,10.760000000000005,1,0,0,0
X12975,M3b Damp-IPF,1.55,5.0,2.57,1.64,2.64,Other,Midwest,Urban,1k-9999,0.2141,1.8700000000000045,1,0,0,0
63821,M3b Damp-IPF,3.75,4.04,4.66,4.01,5.06,Other,South,Urban,10000+,0.366,2.020000000000003,1,0,0,0
BM5533,M3 IPF,3.31,0.32,3.81,2.77,3.15,Other,South,Suburban,100-999,0.0906,8.810000000000002,1,0,0,0
84461,M1b Learned-Wt,8.35,14.08,7.79,7.06,6.73,Other,South,Urban,1k-9999,0.3452,11.759999999999991,1,0,0,0
AZ2857,M2c ZIP-Tract,7.55,12.06,6.9,7.14,7.03,Other,West,Urban,10000+,0.2974,13.360000000000007,1,0,0,0
M63135,M3c Var-Damp-IPF,2.3,1.93,2.35,1.9,2.02,Other,Midwest,Urban,1k-9999,0.1022,6.079999999999998,1,0,0,0
FN5463,M3b Damp-IPF,5.58,11.17,5.6,5.92,5.61,Other,Northeast,Urban,100-999,0.168,12.14,1,0,0,0
A21817,M3c Var-Damp-IPF,1.32,4.86,1.2,0.78,1.1,Other,Midwest,Urban,100-999,0.2064,7.769999999999996,1,0,0,0
FB7923,M1b Learned-Wt,3.53,5.7,3.57,3.45,3.4,Other,South,Rural,100-999,0.2508,10.289999999999992,1,0,0,0
X36288,M1b Learned-Wt,5.86,10.52,5.91,5.93,5.56,Other,West,Urban,10000+,0.4375,0.6499999999999986,1,0,0,0
374098,M3b Damp-IPF,2.16,3.85,3.26,2.17,3.14,Other,Midwest,Urban,100-999,0.2141,1.8700000000000045,1,0,0,0
FC6639,M3c Var-Damp-IPF,4.87,10.15,5.29,4.55,4.7,Other,South,Urban,100-999,0.3224,1.009999999999991,1,0,0,0
X18738,M3c Var-Damp-IPF,2.03,4.49,2.7,1.09,1.74,Other,South,Urban,1k-9999,0.1644,14.790000000000006,1,0,0,0
DP4651,M1b Learned-Wt,8.02,14.78,7.18,7.16,6.98,Other,West,Urban,100-999,0.2974,0.5400000000000063,1,0,0,0
78749,M2c ZIP-Tract,5.39,8.14,4.65,5.8,5.34,Other,Midwest,Urban,1k-9999,0.0974,6.560000000000002,1,0,0,0
BX1556,M3 IPF,2.78,2.52,2.77,2.69,3.0,Other,South,Urban,100-999,0.1957,0.37000000000000455,1,0,0,0
106437,M1b Learned-Wt,10.77,16.96,10.57,10.21,9.65,Other,South,Urban,1k-9999,0.2933,6.569999999999993,1,0,0,0
B16848,M3 IPF,3.33,2.66,3.55,3.97,4.29,Other,South,Urban,1k-9999,0.2574,10.949999999999989,1,0,0,0
EL3751,M3b Damp-IPF,0.65,0.89,1.11,0.65,1.24,Other,Midwest,Urban,100-999,0.0746,3.4399999999999977,1,0,0,0
GL0370,M3 IPF,3.92,3.04,5.32,3.07,4.26,Other,South,Urban,100-999,0.2154,17.07999999999999,1,0,0,0
GX9350,M3 IPF,11.37,6.57,11.9,12.33,12.75,Other,South,Urban,100-999,0.4843,13.119999999999997,1,0,0,0
131010,M3b Damp-IPF,1.76,4.67,1.84,2.69,3.13,Other,Midwest,Urban,1k-9999,0.3238,16.08,1,0,0,0
X37426,M2c ZIP-Tract,5.9,10.74,5.06,5.52,5.14,Other,Midwest,Urban,1k-9999,0.2038,2.9000000000000057,1,0,0,0
FX8969,M3c Var-Damp-IPF,4.3,3.59,6.57,2.25,3.73,Other Manufacturing,West,Rural,1-99,0.1239,44.35,1,0,0,0
B43561,M3 IPF,6.44,2.41,7.37,6.72,7.35,Other Manufacturing,South,Urban,1k-9999,0.3224,4.579999999999998,1,0,0,0
G13036,M2c ZIP-Tract,0.68,4.13,0.28,0.43,0.44,Other Manufacturing,Midwest,Urban,1k-9999,0.1611,6.709999999999994,1,0,0,0
P54772,M3 IPF,5.66,3.03,6.03,5.92,6.23,Other Manufacturing,South,Urban,1k-9999,0.4768,7.310000000000002,1,0,0,0
851649,M3b Damp-IPF,1.03,2.22,1.15,1.04,1.15,Other Manufacturing,West,Urban,100-999,0.0969,2.950000000000003,1,0,0,0
BQ3487,M3 IPF,2.98,1.84,3.6,2.68,3.0,Professional/Technical (54),Midwest,Urban,100-999,0.1094,10.629999999999995,1,0,0,0
EE9486,M1b Learned-Wt,3.2,7.88,2.95,2.66,1.62,Professional/Technical (54),South,Urban,1-99,0.2627,12.329999999999998,1,0,0,0
A54834,M3c Var-Damp-IPF,2.55,6.31,4.03,2.47,3.52,Professional/Technical (54),West,Suburban,100-999,0.3359,1.019999999999996,1,0,0,0
N54722,M3 IPF,2.37,2.33,3.16,2.72,4.02,Professional/Technical (54),Midwest,Urban,100-999,0.2263,12.289999999999992,1,0,0,0
ET4406,M3 IPF,5.22,3.94,7.48,4.43,5.39,Professional/Technical (54),West,Urban,100-999,0.2974,22.140000000000008,1,0,0,0
HK1064,M3c Var-Damp-IPF,4.47,7.47,5.75,4.03,4.65,Professional/Technical (54),South,Urban,10000+,0.366,3.479999999999997,1,0,0,0
BV5540,M1b Learned-Wt,4.44,10.22,3.7,3.55,1.59,Professional/Technical (54),South,Urban,100-999,0.3803,18.97,1,0,0,0
HY1689,M1b Learned-Wt,6.19,10.11,5.17,5.59,4.08,Professional/Technical (54),Northeast,Urban,100-999,0.2416,13.769999999999996,1,0,0,0
CC0066,M3c Var-Damp-IPF,2.35,3.43,3.44,2.09,2.73,Professional/Technical (54),Midwest,Urban,1k-9999,0.1611,8.200000000000003,1,0,0,0
JF6280,M3 IPF,6.97,1.74,8.02,7.46,9.19,Professional/Technical (54),South,Urban,1-99,0.366,13.600000000000001,1,0,0,0
T09997,M3c Var-Damp-IPF,3.47,7.31,4.03,3.33,3.67,Professional/Technical (54),South,Urban,100-999,0.366,6.479999999999997,1,0,0,0
FW2335,M2c ZIP-Tract,3.86,7.29,3.28,4.08,3.86,Professional/Technical (54),Northeast,Urban,1-99,0.1122,8.939999999999998,1,0,0,0
142947,M3b Damp-IPF,2.53,4.96,3.42,2.66,3.68,Professional/Technical (54),South,Urban,10000+,0.3224,8.449999999999989,1,0,0,0
31787,M3b Damp-IPF,2.95,4.81,4.12,3.12,4.31,Professional/Technical (54),Midwest,Urban,1k-9999,0.2883,8.829999999999998,1,0,0,0
D14726,M3b Damp-IPF,1.68,3.67,2.17,1.71,2.15,Professional/Technical (54),Northeast,Urban,100-999,0.1597,2.019999999999996,1,0,0,0
JG7953,M3 IPF,3.32,2.92,4.53,3.51,4.99,Professional/Technical (54),Midwest,Urban,100-999,0.2883,8.829999999999998,1,0,0,0
FJ8405,M2c ZIP-Tract,8.45,14.41,7.98,8.54,8.12,Professional/Technical (54),South,Urban,1k-9999,0.3122,7.039999999999992,1,0,0,0
X38025,M3c Var-Damp-IPF,2.09,2.88,2.52,2.02,2.32,Professional/Technical (54),South,Urban,100-999,0.1401,1.6400000000000006,1,0,0,0
DU6638,M2c ZIP-Tract,1.78,6.12,1.66,1.67,1.86,Professional/Technical (54),Midwest,Urban,100-999,0.2405,6.86999999999999,1,0,0,0
BT3627,M3c Var-Damp-IPF,2.27,6.35,3.02,1.87,2.23,Professional/Technical (54),West,Urban,100-999,0.2429,5.259999999999991,1,0,0,0
P00347,M3c Var-Damp-IPF,3.34,4.74,3.52,3.09,3.55,Professional/Technical (54),South,Urban,100-999,0.4096,2.539999999999999,1,0,0,0
HF7362,M3 IPF,6.15,0.61,6.72,6.03,6.27,Professional/Technical (54),South,Urban,1-99,0.2493,4.6699999999999875,1,0,0,0
EU4361,M1b Learned-Wt,8.04,13.58,8.25,7.59,7.11,Professional/Technical (54),South,Urban,1-99,0.3803,7.909999999999997,1,0,0,0
BS6092,M3c Var-Damp-IPF,2.1,3.27,3.26,1.61,2.15,Professional/Technical (54),Northeast,Urban,100-999,0.1122,19.189999999999998,1,0,0,0
N65648,M1b Learned-Wt,6.61,13.74,6.98,6.18,5.91,Professional/Technical (54),South,Urban,100-999,0.4096,0.18999999999999773,1,0,0,0
FN8765,M3 IPF,7.24,1.22,9.97,7.22,8.94,Professional/Technical (54),West,Urban,1k-9999,0.4615,5.730000000000004,1,0,0,0
JH1347,M1b Learned-Wt,9.28,15.24,9.38,8.63,8.47,Professional/Technical (54),South,Urban,100-999,0.3695,3.1299999999999955,1,0,0,0
T07486,M1b Learned-Wt,2.65,8.43,1.62,2.0,1.16,Professional/Technical (54),South,Urban,1k-9999,0.366,17.54,1,0,0,0
EA9216,M1b Learned-Wt,2.55,7.67,2.17,2.12,1.57,Professional/Technical (54),South,Urban,100-999,0.2982,6.819999999999993,1,0,0,0
BE3614,M3c Var-Damp-IPF,3.06,3.75,4.09,2.84,3.06,Professional/Technical (54),South,Suburban,100-999,0.2208,7.519999999999996,1,0,0,0
BX0156,M3c Var-Damp-IPF,6.28,5.84,6.87,5.79,5.82,Professional/Technical (54),South,Urban,100-999,0.4096,6.609999999999999,1,0,0,0
E41640,M1b Learned-Wt,5.07,9.87,4.38,4.74,4.14,Professional/Technical (54),Midwest,Urban,100-999,0.2038,0.37999999999999545,1,0,0,0
A53958,M3 IPF,4.7,1.43,6.02,5.05,6.48,Professional/Technical (54),Midwest,Urban,100-999,0.2883,8.829999999999998,1,0,0,0
A29673,M3c Var-Damp-IPF,0.76,2.87,1.82,0.71,1.34,Professional/Technical (54),Midwest,Urban,100-999,0.1226,3.309999999999988,1,0,0,0
FD5990,M3b Damp-IPF,1.05,4.06,1.43,1.5,2.56,Professional/Technical (54),South,Urban,100-999,0.2627,12.329999999999998,1,0,0,0
L20433,M3 IPF,2.56,1.2,3.33,2.77,4.32,Professional/Technical (54),Midwest,Urban,100-999,0.2103,12.960000000000008,1,0,0,0
BH6420,M1b Learned-Wt,16.92,21.71,16.51,16.47,15.4,Professional/Technical (54),South,Urban,100-999,0.366,3.479999999999997,1,0,0,0
A58937,M3b Damp-IPF,2.56,3.45,3.48,2.87,3.8,Professional/Technical (54),Midwest,Urban,100-999,0.2064,10.689999999999998,1,0,0,0
X38087,M3 IPF,5.19,0.31,6.22,5.83,7.77,Professional/Technical (54),Midwest,Urban,100-999,0.3238,17.89999999999999,1,0,0,0
CB5410,M3c Var-Damp-IPF,3.7,4.19,5.45,3.39,4.53,Professional/Technical (54),West,Urban,100-999,0.312,1.6500000000000057,1,0,0,0
A61758,M3 IPF,4.01,0.62,5.09,4.45,5.7,Professional/Technical (54),Midwest,Urban,100-999,0.2387,12.530000000000001,1,0,0,0
925925,M3c Var-Damp-IPF,0.9,1.19,1.49,0.65,0.86,Professional/Technical (54),Midwest,Suburban,100-999,0.0323,8.409999999999997,1,0,0,0
HF8030,M3 IPF,13.39,12.63,12.88,14.22,14.32,Professional/Technical (54),West,Urban,100-999,0.7755,23.44,1,0,0,0
