state,section,name,officers,address,phone,fax,email,website,facebook,source_url
California,,Council 36: Ontario Office,,"Ontario Office
601 S. Milliken Ave., Unit D
Ontario, CA 91761",(909) 281-9080,,,,,https://www.afscme.org/local/california
California,,Council 36: Orange County Office,,"Orange County Office
520 N. Brookhurst St., Suite 229
Anaheim, CA 92801",(714) 278-3440,,,,,https://www.afscme.org/local/california
California,,Council 36: San Diego Office,,"San Diego Office
3737 Camino Del Rio South, Suite 400
San Diego, CA 92108",(619) 640-4939,,,,,https://www.afscme.org/local/california
California,,Council 36: South Bay Office,,"South Bay Office
20300 S. Vermont Ave., Suite 225
Torrance, CA 90502",(310) 516-1645,,,,,https://www.afscme.org/local/california
California,,Council 57: Oakland (Headquarters),"Walter Blair, Administrator; Tony Martin, President","Walter Blair, Administrator
Tony Martin, President
80 Swan Way, Suite 110
Oakland, CA 94621-1438",(510) 577-9694; (800) 244-8122,,,http://www.afscme57.org/,,https://www.afscme.org/local/california
California,,Council 57: San Jose Office,,"101
San Jose, CA 95112-4923",,(408) 998-2070,,,,https://www.afscme.org/local/california
California,,Council 57: Elk Grove Office,,"10C
Elk Grove, CA 95624",(916) 714-6373,,,,,https://www.afscme.org/local/california
California,,Council 57: Sacramento Office,,"Sacramento Office
2295 Gateway Oaks Dr., Suite 140
Sacramento, CA 95354",(916) 923-1860,,,,,https://www.afscme.org/local/california
California,,Council 57: Modesto Office,,"Modesto Office
1120 13th Street, Suite F
Modesto, CA 95354",(209) 524-4718,,,,,https://www.afscme.org/local/california
California,,Council 57: Merced Office,,"Merced Office
1640 N Street, Suite 220
Merced, CA 95340",(209) 722-3636,,,,,https://www.afscme.org/local/california
California,,Council 57: Eureka Office,,"Eureka Office
840 E Street, Suite 7
Eureka, CA 95501",(707) 443-7371,,,,,https://www.afscme.org/local/california
California,,Council 57: Burbank Office,,"209
Burbank, CA 95505",818-847-2142,,,,,https://www.afscme.org/local/california
California,,Council 57: Sierra Office,,"Sierra Office
PO Box 418
Independence, CA 93526",760-208-9938,,,,,https://www.afscme.org/local/california
California,,Council 57: Concord Office,,"Concord Office
Public Employee Union, Local 1
4057 Port Chicago Highway, Suite 100
Concord, CA 34520",925-228-1600,,,,,https://www.afscme.org/local/california
California,,Council 57: Sutter/Yuba Office,,"Yuba Office
1445 Butte House Road, Suite D
Yuba City, CA 95993",530-674-0185,,,,,https://www.afscme.org/local/california
California,,Council 57: Placerville Office,,"Placerville Office
2864 Ray Lawyer Dr., Suite 202 Placerville, CA 95667",530-626-2569,,,,,https://www.afscme.org/local/california
California,,"Union of American Physicians and Dentists, Local 206: Sacramento (Headquarters)","Doug Chiappetta, Executive Director; Dr. Stuart Bussey, President","Doug Chiappetta, Executive Director
Dr. Stuart Bussey, President
520 Capitol Mall
Suite 220
Sacramento, CA 95814",(916) 442-6977; (510) 839-0193,,uapd@uapd.com,http://www.uapd.com,,https://www.afscme.org/local/california
California,,"Employees Association of the Metropolitan Water District, Local 1902","Alan F. Shanahan, President","111
Los Angeles, CA 90012",,(213) 217-6861,,http://afscme1902.org,,https://www.afscme.org/local/california
California,,"Union of American Physicians and Dentists, Local 206: Southern California Office",,"Southern California Office
1960 East Grand Ave.
Suite 810
El Segundo, CA 90245",(310) 398-4038,(800) 504-8273,uapdla@uapd.com,,,https://www.afscme.org/local/california
California,,"United Domestic Workers of America, Local 3930: State Headquarters","Douglas Moore Jr., Executive Director; Astrid Zuniga, President","State Headquarters
Douglas Moore Jr., Executive Director
Astrid Zuniga, President
4855 Seminole Drive
San Diego, CA 92115",(619) 263-7254,(800) 621-5016,,http://www.udwa.org,,https://www.afscme.org/local/california
California,,"United EMS Workers, Local 4911","Jocelyn Paulson, Executive Director; Anders Clayton, President","United EMS Workers, Local 4911
Jocelyn Paulson, Executive Director
Anders Clayton, President
175 Bernal Road
Suite 205
San Jose, CA 95119",(925) 443-4911,,info@uemsw.org,http://www.uemsw.org,,https://www.afscme.org/local/california
California,,United Nurses Associations of California/Union of Health Care Professionals (UNAC/UHCP): San Dimas (Headquarters),"Charmaine Morales, RN, President; Joe Guzynski, Executive Director","Charmaine Morales, RN, President
Joe Guzynski, Executive Director
13101 Crossroads Pkwy S.
City of Industry, CA 91746",(909) 599-8622; (800) 762-5874,(909) 599-8655,%20joe.guzynski@unacuhcp.org,http://www.unacuhcp.org,,https://www.afscme.org/local/california
California,,United Nurses Associations of California/Union of Health Care Professionals (UNAC/UHCP): San Diego Office,,"San Diego Office
5030 Camino De La Siesta
Suite 306
San Diego, CA 92108",(619) 280-5401,,,,,https://www.afscme.org/local/california
California,,"University of California Employees, Local 3299: Oakland (Headquarters)","Elizabeth Perlman, Executive Director; Michael Avant, President","Elizabeth Perlman, Executive Director
Michael Avant, President
425 15th Street
Oakland, CA 94612",,(510) 844-1160,info@afscme3299.org,https://afscme3299.org,,https://www.afscme.org/local/california
California,,"University of California Employees, Local 3299: San Francisco Office",,"240
San Francisco, CA 94122",(415) 566-6477,,,,,https://www.afscme.org/local/california
California,,"University of California Employees, Local 3299: San Diego Office",,"San Diego Office
3838 Camino Del Rio North, Suite 104
San Diego, CA 92108",(619) 296-0342,,,,,https://www.afscme.org/local/california
California,,Management and Professional Employees Association of the Metropolitan Water District (MAPA) Local 1001,"Diane Doesserich, President","136
Los Angeles, CA 90012",(626) 644-6066,,jvrsalovich@mwdh2o.com,,,https://www.afscme.org/local/california
California,,"Burbank City Employees Association, Local 3143","Griselda Sandoval, President","Burbank City Employees Association, Local 3143
Griselda Sandoval, President
221 West Alameda Ave. Unit 103
Burbank, CA 91502",(818) 489-3433,,bsanders@bcea3134.org,,,https://www.afscme.org/local/california
California,,"University of California Employees, Local 3299: Santa Cruz Office",,"4
Santa Cruz, CA 95060",,,,,,https://www.afscme.org/local/california
Colorado,International Union Offices,Southwest Area Office,"Lalo Macias, Area Field Service Director","Southwest Area Office
Lalo Macias, Area Field Service Director
4000 S. Eastern Ave
Suite 200
Las Vegas, NV 89119",(702) 202-3633,,,,,https://www.afscme.org/local/colorado
Colorado,Retiree Chapters,Retiree Chapter: Chapter 76,"Jerry Solano, President",,(719) 406-1470,,Jazzsol@comcast.net,,,https://www.afscme.org/local/colorado
Colorado,,Council 976: Denver (Headquarters),"Megan Eierman, Director of AFSCME Colorado, Assistant Regional Director of the Western Region","670
Denver, CO 80224",(303) 355-6504,,,,,https://www.afscme.org/local/colorado
Connecticut,International Union Offices,Area Office: Boston,,"Boston
Tim Birch, ARD
8 Beacon Street, 2nd Floor
Boston, MA 02108",(617) 367-3686,,,,,https://www.afscme.org/local/connecticut
Connecticut,Retiree Chapters,Connecticut Retiree Chapter 4,,,(860) 225-7656,,afscmechapter4@yahoo.com,https://www.council4.org/retirees-chapter-4,,https://www.afscme.org/local/connecticut
Connecticut,,Council 4: New Britain (Headquarters),"Jody Barr, Executive Director; Ron Nelson, President","Jody Barr, Executive Director
Ron Nelson, President
444 East Main Street
New Britain, CT 06051",(860) 224-4000,,,https://www.council4.org/,,https://www.afscme.org/local/connecticut
Connecticut,,"CT Health Care Associates, NUHHCE: Wallingford","Dave Hannon, President","Wallingford
Dave Hannon, President
2 North Plains Industrial Rd.
Wallingford, CT 06492",(203) 265-2297,,,http://www.chcaunion.org,,https://www.afscme.org/local/connecticut
Delaware,International Union Offices,Area Office: Philadelphia,"Maximus Weikel, AFSD","Philadelphia
Maximus Weikel, AFSD
1617 JFK Boulevard, Suite 1215
Philadelphia, PA 19103",(215) 665-1272,,,,,https://www.afscme.org/local/delaware
Delaware,Retiree Chapters,Retiree Chapter: Chapter 81,"Sandy Richards, President",,(302) 323-2121,,ladodgers@verizon.net,,,https://www.afscme.org/local/delaware
Delaware,,"Delaware Public Employees, Council 81: New Castle (Headquarters)","Michael A. Begatto, Executive Director; Faith Morris, President","Michael A. Begatto, Executive Director
Faith Morris, President
91 Christiana Road
New Castle, DE 19720-3104",(302) 323-2121,,mbegatto@council81.org,https://www.council81.org/,,https://www.afscme.org/local/delaware
District Of Columbia,International Union Offices,Eastern Region Office,"Kory Blake, AFSD","Eastern Region Office
Kory Blake, AFSD
Baltimore Area Office
1410 Bush St., Suite B
Baltimore, MD 21230",(410) 837-3055,,,,,https://www.afscme.org/local/district-of-columbia
District Of Columbia,Retiree Chapters,Retiree Chapter 20,"Deborah Courtney, President",,(202) 234-6506,,,,,https://www.afscme.org/local/district-of-columbia
District Of Columbia,,"Council 20: Washington, D.C. (Headquarters)","Wayne Enoch, Executive Director; Kevin Poge, President","Wayne Enoch, Executive Director
1140 3rd Street, NE, Suite 202
Washington, DC 20002",(202) 234-6506; 202.422.5765,,kpoge1@gmail.com,http://www.districtcouncil20.org/,,https://www.afscme.org/local/district-of-columbia
District Of Columbia,,"Metropolitan District 1199DC, NUHHCE","Serena Childress, President; Wanda Shelton-Martin, Executive Director","Martin, Executive Director
8181 Professional Place, Suite 116
Landover, MD 20785",(301) 577-0800,,,,,https://www.afscme.org/local/district-of-columbia
District Of Columbia,,Doctor's Council,"Dr. Jean Joel-Villier, President","Villier, President
P.O. Box 76080
Washington, DC 20013",(202) 408-3373,,dcdc98@erols.com,,,https://www.afscme.org/local/district-of-columbia
Florida,International Union Offices,Southern Region Office,"James Spears, AFSD","Southern Region Office
James Spears, AFSD
1745 Phoenix Boulevard, Suite 440
Atlanta, GA 30349",,(770) 907-2272,,,,https://www.afscme.org/local/florida
Florida,Retiree Chapters,Retiree Chapter: Chapter 79,"Dave Jacobsen, President",,(800) 541-0584,,,https://www.afscmefl.org/retirees,,https://www.afscme.org/local/florida
Florida,,Council 79: Miami (Headquarters),"James Spears, Administrator","James Spears, Administrator
700 S. Royal Poinciana Blvd., Suite 700
Miami Springs, FL 33166",,(305) 651-6617,,http://www.afscmefl.org/,,https://www.afscme.org/local/florida
Florida,,Council 79: Jacksonville Office,,"Jacksonville Office
5208 N Pearl Street
Jacksonville, FL 32208",,(904) 356-4888,,,,https://www.afscme.org/local/florida
Florida,,Council 79: Lakeland,,,(813) 319-0705,,,,,https://www.afscme.org/local/florida
Florida,,Federation of Physicians and Dentists/NUHHCE,"Henry Santana, Executive Director","2
Tallahassee, FL 32301",(850) 942-6636,,,,,https://www.afscme.org/local/florida
Georgia,International Union Offices,Southern Region Office,,"Southern Region Office
4751 Best Rd
Suite 420
Atlanta, GA 30337",,,,,,https://www.afscme.org/local/georgia
Georgia,,AFSCME Local 1644,", Executive Director; , President","AFSCME Local 1644
Tracey Thornhill
, Executive Director
Quientin Hutchins
, President
1745 Phoenix Blvd Ste. 330
College Park, GA 30349",404-472-0028,,,,,https://www.afscme.org/local/georgia
Hawaii,International Union Offices,Area Office: Honolulu,"Liz Ho, AFSD","Honolulu
Liz Ho, AFSD
888 Mililani St., Suite 101,
Honolulu, HI 96813",(808) 543-0004,,,,,https://www.afscme.org/local/hawaii
Hawaii,Retiree Chapters,Retiree Chapter: Chapter 152: HGEA,"Ethel Fleming, President; Joan Gallagher, Retiree Coordinator",,(808) 543-0090,,retirees@hgea.org,http://www.hgea.org/,,https://www.afscme.org/local/hawaii
Hawaii,Retiree Chapters,Retiree Chapter: Chapter 646: Hawaii UPW,"Carol Noland, President",,808-847-2631,,,http://www.upwhawaii.org/retirees-chapter,,https://www.afscme.org/local/hawaii
Hawaii,,HGEA Local 152: Honolulu,"Randy Perreira, Executive Director; Ginet Hayes, President","Honolulu
Randy Perreira, Executive Director
Ginet Hayes, President
888 Mililani Street, Suite 401
Honolulu, HI 96813",(808) 543-0000,,,http://www.hgea.org/,,https://www.afscme.org/local/hawaii
Hawaii,,UPW Local 646: Honolulu,"Kalani Werner, State Director","Honolulu
Kalani Werner, State Director
1426 North School Street
Honolulu, HI 96817",,(808) 847-2631,,http://www.upwhawaii.org/,,https://www.afscme.org/local/hawaii
Hawaii,,Local 928: Honolulu,"Scott Kroeker, President","Honolulu
Scott Kroeker, President
2559 Ipulei Way
Honolulu, HI 96816",(808) 543-0004,,,,,https://www.afscme.org/local/hawaii
Hawaii,,United Nurses Associations of California/Union of Health Care Professionals (UNAC/UHCP): Hawaii,,"209
Kahului, HI 96732",,,,,,https://www.afscme.org/local/hawaii
Idaho,International Union Offices,Northwest Area Office,"Jeremy Kruse, Area Field Services Director","Northwest Area Office
Jeremy Kruse, Area Field Services Director
1836 NE 7th Ave. Suite 203
Portland, OR 97212",,(503) 281-6107,,,,https://www.afscme.org/local/idaho
Idaho,,Council 2: Spokane Office,,"Spokane Office
1105 W. Francis Ave.
Suite C
Spokane, WA 99205",(509) 328-2830; (509) 328-2989,,,,,https://www.afscme.org/local/idaho
Illinois,International Union Offices,Central Region Office,"Dreadless Stubbs, AFSD","Central Region Office
Dreadless Stubbs, AFSD
8740 Orion Place, Suite 305
Columbus, OH 43240",,(614) 436-0933,,,,https://www.afscme.org/local/illinois
Illinois,Retiree Chapters,Illinois AFSCME Retiree Chapter 31,"Larry Brown, President; Maria Britton-Sipe, Retiree Coordinator",,(217) 788-2800,,mbritton-sipe@afscme31.org,http://www.afscme31.org/retirees,,https://www.afscme.org/local/illinois
Illinois,,Council 31: Chicago (Headquarters),"Roberta Lynch, Executive Director","Roberta Lynch, Executive Director
205 N. Michigan Ave.
Suite 2100
Chicago, IL 60601",,(312) 641-6060,,http://www.afscme31.org/,,https://www.afscme.org/local/illinois
Illinois,,Council 31: Northwest Chicago Office,,"Northwest Chicago Office
7222 W Cermak Rd., Suite 501
North Riverside, IL 60546",,(708) 524-5356,,,,https://www.afscme.org/local/illinois
Illinois,,Council 31: Urbana Office,,"Urbana Office
1403 E. Washington St., H
Urbana, IL 61802",,(217) 328-4336,,,,https://www.afscme.org/local/illinois
Illinois,,Council 31: Rockford Office,,"Rockford Office
212 S. 1st Street
Rockford, IL 61104",,(815) 968-0447,,,,https://www.afscme.org/local/illinois
Illinois,,Council 31: Springfield Office,,"Springfield Office
AFSCME Council 31
1000 Churchill Road
Springfield, IL 62702",,(217) 788-2800,,,,https://www.afscme.org/local/illinois
Illinois,,House Staff Association of Chicago (HSACCH),"Amelia Lerch, President","Amelia Lerch, President
1900 West Polk Street
Room 803
Chicago, IL 60612",(312) 864-3691,,,,,https://www.afscme.org/local/illinois
Illinois,,Council 31: Mount Vernon Office,,"Mount Vernon Office
212 S. 9
th
Street
Mount Vernon, IL 62864",,(618) 316-7085,,,,https://www.afscme.org/local/illinois
Indiana,International Union Offices,Central Region Office,"Lisa Martin, AFSD","Central Region Office
Lisa Martin, AFSD
8740 Orion Place, Suite 305
Columbus, OH 43240",,(614) 436-0933,,,,https://www.afscme.org/local/indiana
Indiana,Retiree Chapters,Retiree Chapter 962,"Anissa Boller Holloway, President",,(502) 417-3162,,anissabrady35@gmail.com,,,https://www.afscme.org/local/indiana
Indiana,,Council 962: Indianapolis (Headquarters),"Ron Richmond, Executive Director","Ron Richmond, Executive Director
1424 North Pennsylvania Street
Indianapolis, IN 46202",,(317) 632-1432,,http://www.afscme962.org,,https://www.afscme.org/local/indiana
Indiana,,Council 962: Mishawaka Office,,"Mishawaka Office
1217 Miracle Ln.
Mishawaka, IN 46545",,(574) 289-1410,,,,https://www.afscme.org/local/indiana
Indiana,,Council 962: Gary Office,,"Gary Office
2222 W. Ridge Road
Gary, IN 46408",(219) 985-2618,,,,,https://www.afscme.org/local/indiana
Iowa,International Union Offices,International Union Offices,"Andres Becerra, AFSD","International Union Offices
Andres Becerra, AFSD
8740 Orion Place, Suite 305
Columbus, OH 43240",,(614) 436-0933,,,,https://www.afscme.org/local/iowa
Iowa,Retiree Chapters,Retiree Chapter: Chapter 61,"Mary Cannon-James, President",,(515) 246-2627,,,https://www.afscmecouncil61.org/retiree-chapter-61,,https://www.afscme.org/local/iowa
Iowa,,Council 61: Des Moines (Headquarters),"Todd Copley, President","Todd Copley, President
4320 NW 2
nd
Avenue
Des Moines, IA 50313",(515) 246-1517,,tcopley@afscmeiowa.org,http://www.afscmecouncil61.org/,,https://www.afscme.org/local/iowa
Kansas,International Union Offices,Central Region Office,"Andres Becerra, AFSD","Central Region Office
Andres Becerra, AFSD
8740 Orion Place, Suite 305
Columbus, OH 43240",,(614) 436-0933,,,,https://www.afscme.org/local/kansas
Kansas,Retiree Chapters,Kansas Retiree Chapter: Chapter 61,"Mary Cannon-James, President",,(515) 246-2627,,,https://www.afscmecouncil61.org/retiree-chapter-61,,https://www.afscme.org/local/kansas
Kansas,,Council 61: Jefferson City (Headquarters),"Todd Copley, President","Todd Copley, President
4320 NW 2nd St.
Des Moines, IA 50313",(573) 635-9145,(800) 554-2054,,,,https://www.afscme.org/local/kansas
Kansas,,KOSE AFT/AFSCME Local 300,"Sarah LaFrenz, President","AFSCME Local 300
Sarah LaFrenz, President
534 S. Kansas Avenue, Suite 900
Topeka, KS 66603",,(785) 354-1174,sarah.lafrenz@koseunion.org,http://www.koseunion.org/,,https://www.afscme.org/local/kansas
Kentucky,International Union Offices,Central Region Office,"Lisa Martin, AFSD","Central Region Office
Lisa Martin, AFSD
8740 Orion Place, Suite 305
Columbus, OH 43240",,(614) 436-0933,,,,https://www.afscme.org/local/kentucky
Kentucky,Retiree Chapters,IN/KY Chapter 962,"Anissa Boller Holloway, President","gmail.com
1424 Pennsylvania Street
Indianapolis, IN 46202",,,anissabrady35@gmail.com,,,https://www.afscme.org/local/kentucky
Kentucky,,Council 962: Council 962: Indiana-Kentucky (HQ),"Ron Richmond, Executive Director","afscme962.org
1424 North Pennsylvania Street
Indianapolis, IN 46202",,(317) 632-1432,,http://www.afscme962.org,,https://www.afscme.org/local/kentucky
Kentucky,,Council 962: Louisville,,"Louisville
4315 Preston Highway, Ste 101
Louisville, KY 40213",,(502) 363-4074,,,,https://www.afscme.org/local/kentucky
Louisiana,International Union Offices,Southern Region Office,"Dorothy Townsend, Regional Director","Southern Region Office
Dorothy Townsend, Regional Director
1745 Phoenix Blvd., Suite 440
Atlanta, GA 30349",(770) 907-2272,,,,,https://www.afscme.org/local/louisiana
Louisiana,,Council 17: Baton Rouge,"Lloyd Permaul, Executive Director; Mary Dixon, President","2
Baton Rouge, LA 70816",,(225) 927-2800,,http://www.afscme17.org/,,https://www.afscme.org/local/louisiana
Maine,International Union Offices,Area Office: Boston,,"Boston
Tim Birch, ARD
8 Beacon Street, 2nd Floor
Boston, MA 02108",(617) 367-3686,,,,,https://www.afscme.org/local/maine
Maine,Retiree Chapters,Retiree Chapter: Chapter 93,"Ed Keefe, President",,(888) 271-3868,,,http://afscmechapter93retirees.com/,,https://www.afscme.org/local/maine
Maine,,Council 93: Augusta Office,"Mark Bernard, Executive Director","Augusta Office
Mark Bernard, Executive Director
6 Rockwood Drive
Manchester, ME 04351",(207) 622-6191,,,http://www.afscme93.org/,,https://www.afscme.org/local/maine
Maryland,International Union Offices,Eastern Region Office,"Kory Blake, AFSD","Eastern Region Office
Baltimore Area Office
Kory Blake, AFSD
1410 Bush St., Suite 115
Baltimore, MD 21230",(410) 837-3055,,,,,https://www.afscme.org/local/maryland
Maryland,Retiree Chapters,Maryland AFSCME Retiree Chapter 1,"Shandala Richburg, President",,(410) 837-1047,,,,https://www.facebook.com/MDRetireeChapter1/,https://www.afscme.org/local/maryland
Maryland,,AFSCME Maryland Council 3,"Patrick Moran, President","AFSCME Maryland Council 3
Patrick Moran, President
AFSCME MD Council 3
1410 Bush Street
Suite A
Baltimore, MD  21230",(410) 837-7278,(800) 492-1996,,http://www.afscmemd.org/,,https://www.afscme.org/local/maryland
Maryland,,Council 3: Cumberland Office,,"Cumberland Office
401 Decatur Street
Cumberland, MD 21502",(410) 547-1515,,,,,https://www.afscme.org/local/maryland
Maryland,,Council 3: Hagerstown Office,,"Hagerstown Office
18131 Maugans Avenue
Hagerstown, MD 21740",,(410) 547-1515,,,,https://www.afscme.org/local/maryland
Maryland,,Council 3: Salisbury Office,,"Salisbury Office
106 W. Circle Avenue Suite 102
Salisbury, MD 21801",,(410) 547-1515,,,,https://www.afscme.org/local/maryland
Maryland,,Council 3: Baltimore Office,,"Baltimore Office
1410 Bush Street, Suite A
Baltimore, MD 21230",(410) 837-7278,(800) 727-3332,,,,https://www.afscme.org/local/maryland
Maryland,,Council 3: Prince George’s County,,,(410) 547-1515,,,,,https://www.afscme.org/local/maryland
Maryland,,"Association of Classified Employees, Local 2250","Kristie Bailey, Executive Director; Essence Herndon, President","Association of Classified Employees, Local 2250
Kristie Bailey, Executive Director
Essence Herndon, President
14440 Old Mill Rd
Upper Marlboro, MD 20772",,301-857-8335,Essence.herndon@ace-afscme.org,http://www.ace-afscme.org/,,https://www.afscme.org/local/maryland
Massachusetts,International Union Offices,Area Office: Boston,,"Boston
Tim Birch, ARD
8 Beacon St.
2nd Floor
Boston, MA 02108",,(617) 367-3686,,,,https://www.afscme.org/local/massachusetts
Massachusetts,Retiree Chapters,New England Retiree Chapter 93,"Ed Keefe, President",,(888) 271-3868,,,http://afscmechapter93retirees.com/,,https://www.afscme.org/local/massachusetts
Massachusetts,,Council 93: Boston (Headquarters),"Mark Bernard, Executive Director; Christopher ""Tiger"" Stockbridge, President","Stockbridge, President
8 Beacon Street
Boston, MA 02108",(617) 367-6000,,,http://www.afscme93.org,,https://www.afscme.org/local/massachusetts
Massachusetts,,"Harvard Union of Clerical and Technical Workers, HUCTW Local 3650","Bill Jaeger, Executive Director; Simone Gonzalez, President","Harvard Union of Clerical and Technical Workers, HUCTW Local 3650
Bill Jaeger, Executive Director
Simone Gonzalez, President
131 Mount Auburn Street
Cambridge, MA 02138",,(617) 661-8289,huctw.info@huctw.org,https://huctw.org/,,https://www.afscme.org/local/massachusetts
Massachusetts,,"State Healthcare and Research Employees Unions, SHARE Locals 3900 and 4000","Elizabeth Szanto, Executive Director","State Healthcare and Research Employees Unions, SHARE Locals 3900 and 4000
Elizabeth Szanto, Executive Director
50 Lake Avenue
Worcester, MA 01604",,(508) 929-4020,,http://www.theshareunion.org/,,https://www.afscme.org/local/massachusetts
