"label","primary_signal","engine_rule","cluster_size","total_same_signal","purity","sample_pair_1","sample_pair_2","sample_state"
"DUPLICATE","name_byte_identical","H3","74","76","0.9737","COMPUTER METAL PRODUCTS CORPORATION | COMPUTER METAL PRODUCTS CORPORATION","MULGREW AIRCRAFT COMPONENTS, INC. | MULGREW AIRCRAFT COMPONENTS, INC.","CA"
"DUPLICATE","source_diversity_agree","H4","71","71","1.0","ON LOK DAY SERVICES | ON LOK DAY SERVICES","CONSORTIUM FOR EARLY LEARNING SERVICES | CONSORTIUM FOR EARLY LEARNING SERVICES","CA"
"DUPLICATE","name_punctuation_only_diff","H9+H3","65","66","0.9848","RUDY PROJECT NORTH AMERICA, L.P. | RUDY PROJECT NORTH AMERICA, L.P.","2698 CALIFORNIA, L.P. | 2698 CALIFORNIA, L.P.","CA"
"UNRELATED","industry_mismatch","<none>","64","64","1.0","ORIGINS CONSTRUCTION INC. | ORIGINS LLC","ANAHEIM UNION HIGH SCHOOL DISTRICT | Anaheim Hiss Car Wash & Lube","CA"
"RELATED","subsidiary_naming","H9+H3","64","67","0.9552","LATIN AMERICAN BIBLE INSTITUTE | LATIN AMERICAN BIBLE INSTITUTE COLLEGE","MARYSVILLE JOINT UNIFIED SCHOOL DISTRICT | MARYSVILLE JOINT UNIFIED SCHOOL DISTRICT EDUCATION FOUNDATION","CA"
"UNRELATED","geographic_mismatch","<none>","51","52","0.9808","PRESIDIO INC. | PRESIDIO HOTEL GROUP, LLC","LA HABRA, CITY OF | LA HABRA HEIGHTS COUNTY WATER DISTRICT","CA"
"DUPLICATE","name_byte_identical","H2+H5+H8+H1","44","45","0.9778","CITY OF MISSION VIEJO | CITY OF MISSION VIEJO","YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN LOS ANGELES | Young Men's Christian Association of Metropolitan Los Angeles","CA"
"RELATED","subsidiary_naming","H3","44","46","0.9565","Lakewood Regionla Medical Center | LAKEWOOD REGIONAL MEDICAL CENTER MEDICAL STAFF","SolarWinds Worldwide LLC. | SOLARWINDS HOLDINGS, INC.","CA"
"RELATED","zip_city_match","H2+H5+H8+H1","35","35","1.0","YOUTH BUSINESS ACADEMY | YOUTH BUSINESS ACADEMY","SOUTHWEST FINANCIAL FEDERAL CREDIT UNION | SOUTHWEST FINANCIAL FEDERAL CREDIT UNION","CA"
"DUPLICATE","name_byte_identical","H4","32","32","1.0","PLUMAS ALTERNATIVE LEARNING SERVICES | PLUMAS ALTERNATIVE LEARNING SERVICES","SENIOR VOLUNTEER SERVICES | SENIOR VOLUNTEER SERVICES","CA"
"DUPLICATE","name_punctuation_only_diff","H12","30","30","1.0","AG EXPEDITED INC | AG EXPEDITED, INC.","THE MASCHHOFFS LLC | The Maschhoffs, LLC","IL"
