"parent_candidate_name","pairs_sampled","unrelated_or_broken","reject_rate","mostly_generic_flag","cluster_size","sample_pair","sample_state"
"miller thomas","3","3","1.0","False","3","Miller Thomas E | Miller Thomas F","PA"
"papa johns","3","3","1.0","False","3","PJ North Carolina, LLC | BB&L One,LLC","NC"
"general nutrition center","3","3","1.0","False","3","E & R Colone, L.L.C.. | K & R Nutrition","NC"
"meineke car care","3","3","1.0","False","3","Godspeed Automotives, LLC | Meineke Auto Group, LLC","NC"
"king david","3","3","1.0","False","3","King David G | KING DAVID L","MA"
"johnson david","3","3","1.0","False","3","JOHNSON, DAVID M | Johnson David F","MA"
"hayes john","3","3","1.0","False","3","HAYES JOHN G | HAYES JOHN J","MA"
"reilly joseph","3","3","1.0","False","3","Reilly Joseph B | Reilly Joseph H.","MA"
"davis robert","3","3","1.0","False","3","DAVIS ROBERT | DAVIS ROBERT J","MA"
"mcgovern john","3","3","1.0","False","3","McGovern John | McGovern John F","NJ"
"ryan michael","3","3","1.0","False","3","RYAN MICHAEL F | Ryan Michael J","NJ"
"blair robert","3","3","1.0","False","3","Blair Robert A. | BLAIR ROBERT L","CA"
"klein kenneth","3","3","1.0","False","3","KLEIN KENNETH K | Klein Kenneth R.","CA"
"little robert","3","3","1.0","False","3","LITTLE ROBERT J | Little Robert S.","CA"
"la michoacana meat market","3","3","1.0","False","6","Ibarras Meat Market, LTD | LMMM DALLAS #32 ,LTD","TX"
"china border","3","3","1.0","False","5","Red China Inc | China Border, Inc.","TX"
"7 eleven store","3","3","1.0","False","5","Black Sea Petroleum, Inc. | Chandi, Inc","FL"
"mccormick gas station","3","3","1.0","False","4","J McCormick LLC | J McCormick LLC","MI"
"aroogas grille house sports","3","3","1.0","False","4","Waterford Ventures Management, LLC | 39 Ventures Management, LLC","PA"
"newport beach","3","3","1.0","False","","NEWPORT BEACH FILM FESTIVAL | NEWPORT BEACH & COMPANY","CA"
"kennedy david","2","2","1.0","False","3","KENNEDY DAVID N | Kennedy David P","CA"
"adams david","2","2","1.0","False","3","Adams David H | Adams David L","CA"
"miller andrew","2","2","1.0","False","2","Miller Andrew | Miller Andrew M.","CA"
"thomas william","2","2","1.0","False","2","Thomas William | THOMAS WILLIAM E","CA"
"lee john","2","2","1.0","False","3","LEE JOHN | Lee John E","CA"
"jones michael","2","2","1.0","False","2","Jones Michael | Jones Michael Q.","CA"
"stark michael","2","2","1.0","False","3","STARK MICHAEL J | Stark Michael P","CA"
"young joseph","2","2","1.0","False","3","YOUNG JOSEPH F | Young Joseph R","CA"
"smith william","2","2","1.0","False","3","SMITH WILLIAM | SMITH WILLIAM M","CA"
"hall david","2","2","1.0","False","3","HALL DAVID G | Hall David S.","CA"
"kaplan michael","2","2","1.0","False","3","Kaplan Michael D. | KAPLAN MICHAEL K","CA"
"gray john","2","2","1.0","False","2","Gray John | GRAY JOHN T.","CA"
"johnson michael","2","2","1.0","False","2","Johnson Michael J | Johnson Michael M","CA"
"lewis michael","2","2","1.0","False","3","LEWIS MICHAEL J | Lewis Michael V","CA"
"unknown employer","2","2","1.0","False","3","UNKNOWN EMPLOYER 28 | UNKNOWN EMPLOYER 4","CA"
"wilson james","2","2","1.0","False","2","WILSON JAMES C | WILSON JAMES N","CA"
"allen john","2","2","1.0","False","2","ALLEN JOHN H | Allen John K","CA"
"forman michael","2","2","1.0","False","3","Forman Michael | FORMAN MICHAEL A","CA"
"brown william","2","2","1.0","False","2","BROWN WILLIAM E | BROWN WILLIAM L","CA"
"glorias restaurant","2","2","1.0","False","3","G. Rubio Eterprises, Inc. | J. Fuentes Rockwall L.P.","TX"
"long michael","2","2","1.0","False","3","LONG MICHAEL G | LONG MICHAEL R","TX"
"smith stephen","2","2","1.0","False","3","Smith Stephen B. | SMITH STEPHEN F","TX"
"king john","2","2","1.0","False","3","KING JOHN | King John M","TX"
"mitchell gregory","2","2","1.0","False","3","Mitchell Gregory E | Mitchell Gregory W","TX"
"jordan robert","2","2","1.0","False","3","Jordan Robert E | JORDAN ROBERT W","TX"
"williamson mark","2","2","1.0","False","3","Williamson Mark D | Williamson Mark L","TX"
"taqueria el mexicano","2","2","1.0","False","3","Jose Garnica | MJ Restaurant, Inc","TX"
"johnson mark","2","2","1.0","False","3","Johnson Mark E | JOHNSON MARK H","TX"
"young energy","2","2","1.0","False","3","YOUNG ENERGY SERVICES | YOUNG ENERGY, LLC","TX"
"carter robert","2","2","1.0","False","2","CARTER ROBERT R | Carter Robert W","TX"
"churchs fried chicken","2","2","1.0","False","3","Bhinder Entrerprises, Inc | Alamo Group of Investments LLC","TX"
"kelly michael","2","2","1.0","False","2","KELLY MICHAEL D. | KELLY MICHAEL L","TX"
"super stop","2","2","1.0","False","3","SNAP INTERNATIONAL CORP. | Kenda Enterprises LLC","TX"
"friedman david","2","2","1.0","False","3","Friedman David | FRIEDMAN DAVID R","FL"
"smith jeffrey","2","2","1.0","False","2","Smith Jeffrey C | Smith Jeffrey S","FL"
"anderson james","2","2","1.0","False","2","ANDERSON JAMES F | Anderson James P.","FL"
"johnson william","2","2","1.0","False","2","Johnson William | JOHNSON WILLIAM L","FL"
"operation","2","2","1.0","False","2","OPERATION 22 | OPERATION 374 INC","FL"
"rogers james","2","2","1.0","False","3","Rogers James F | Rogers James R","IL"
"mcdonald james","2","2","1.0","False","3","McDonald James D. | MCDONALD JAMES M","IL"
"martin david","2","2","1.0","False","2","Martin David A | MARTIN DAVID C","IL"
"crossroads","2","2","1.0","False","2","CROSSROADS | CROSSROADS X, LLC","OH"
"moore michael","2","2","1.0","False","2","MOORE MICHAEL P | Moore Michael R","OH"
"miller steven","2","2","1.0","False","2","MILLER STEVEN F | MILLER STEVEN E","OH"
"obrien timothy","2","2","1.0","False","2","OBrien Timothy J | OBrien Timothy M","OH"
"price robert","2","2","1.0","False","2","Price Robert P | PRICE ROBERT W","OH"
"williams robert","2","2","1.0","False","2","Williams Robert D. | WILLIAMS ROBERT T","OH"
"independent community care","2","2","1.0","False","3","INDEPENDENT COMMUNITY CARE SERVICES | Independent Community Care Service, LLC","MI"
"tgi fridays","2","2","1.0","False","2","Central Florida Restaurant's, Inc. | TGI FRIDAYS #1796","MI"
"7eleven store","2","2","1.0","False","2","Pattuswamy K. Satish | Pattuswamy K. Satish","PA"
"thompson john","2","2","1.0","False","2","THOMPSON JOHN S | Thompson John W","PA"
"smith joseph","2","2","1.0","False","2","SMITH JOSEPH P | SMITH JOSEPH T","PA"
"anderson david","2","2","1.0","False","2","Anderson David | Anderson David W","PA"
"encounter","2","2","1.0","False","2","ENCOUNTER 99 | THE ENCOUNTER","PA"
"johnson james","2","2","1.0","False","2","Johnson James M | JOHNSON JAMES W","GA"
"murphy john","2","2","1.0","False","2","MURPHY JOHN | MURPHY JOHN R","GA"
"harmony community","2","2","1.0","False","3","HARMONY COMMUNITY TRUST FOUNDATION | HARMONY COMMUNITY SERVICES INC","NC"
"brown eric","2","2","1.0","False","2","BROWN ERIC L | BROWN ERIC M","NC"
"smith gary","2","2","1.0","False","2","SMITH GARY B | SMITH GARY L","NC"
"sonic drivein","2","2","1.0","False","2","PMW Atlantic LLC | Greensboro Area Boom, LLC","NC"
"elevation","2","2","1.0","False","3","David & Martins Inc | Elevation, LLC","NC"
"thompson david","2","2","1.0","False","2","THOMPSON DAVID M | THOMPSON DAVID W","VA"
"sullivan james","2","2","1.0","False","2","SULLIVAN JAMES M | Sullivan James T","NJ"
"evergreen school district","2","2","1.0","False","3","EVERGREEN SCHOOL DISTRICT # 114 | EVERGREEN SCHOOL DISTRICT 205","WA"
"johnson eric","2","2","1.0","False","2","JOHNSON ERIC | Johnson Eric L","WA"
"adams william","2","2","1.0","False","2","Adams William | ADAMS WILLIAM P","MA"
"sullivan william","2","2","1.0","False","3","SULLIVAN WILLIAM P | SULLIVAN WILLIAM R","CA"
"boyd james","2","2","1.0","False","3","Boyd James B | BOYD JAMES P","CA"
"bonfare market","2","2","1.0","False","3","Chandi Brothers Enterprise, Inc. | Bonfare Market #36","CA"
"price john","2","2","1.0","False","2","PRICE JOHN E | Price John W","TX"
"bennett david","2","2","1.0","False","3","BENNETT DAVID | Bennett David P","CA"
"williams jeffrey","2","2","1.0","False","3","Williams Jeffrey C. | Williams Jeffrey S","CA"
"711 store","2","2","1.0","False","3","Kiran Hussain | Sekhon S. Sukwant","CA"
"white james","2","2","1.0","False","2","WHITE JAMES | WHITE JAMES H","FL"
"anderson mark","2","2","1.0","False","3","Anderson Mark K. | ANDERSON MARK M.","IL"
"green michael","2","2","1.0","False","3","GREEN MICHAEL B | GREEN MICHAEL K","CA"
"del taco store","2","2","1.0","False","3","Del Taco LLC | DBL Del Three, Inc.","CA"
"kim david","2","2","1.0","False","3","KIM DAVID | Kim David W.","CA"
"marshall christopher","2","2","1.0","False","3","MARSHALL CHRISTOPHER C | Marshall Christopher P","CA"
"campbell michael","2","2","1.0","False","2","Campbell Michael | CAMPBELL MICHAEL D","CA"
"mccarthy kevin","2","2","1.0","False","3","MCCARTHY KEVIN | McCarthy Kevin R","CA"
"jessies food store","2","2","1.0","False","4","Jessie's Food Store & Meat Market, Inc. | Iglesias-Salinas Partnership","TX"
"tink a tako","2","2","1.0","False","6","SJBC, Inc | Sandra Arias","TX"
"supermercado gigante","2","2","1.0","False","4","ABSSR, INC. | Philip Enterprises Inc.","TX"
"foster city","2","2","1.0","False","","FOSTER CITY CHAMBER FOUNDATION | FOSTER CITY LLC","CA"
"seal beach","2","2","1.0","False","","SEAL BEACH GAS PROCESSING JOINT VENTURE | AG SEAL BEACH, LLC DBA COUNTRY VILLA SEAL BEACH HEALTHCARE CENTER","CA"
"traverse city city","2","2","1.0","False","","TRAVERSE CITY ISLAMIC COMMUNITY | TRAVERSE CITY CITY OF","MI"
"hart county","2","2","1.0","False","","HART, COUNTY OF | HART COUNTY CHRISTIAN LEARNING CENTER INC","GA"
"subway store","10","9","0.9","False","3","By Faith, Inc. | Store 31523, LLC","MI"
"sonic drive in","10","9","0.9","False","3","Boom of North Carolina | Smoky Mountain Restaurants","NC"
"golden buddha","9","8","0.889","False","7","Lee Enterprises Inc | Lee Enterprise, Inc.","GA"
"taco bell","6","5","0.833","False","3","DK&K Management Group, Inc | Yum! Brands Inc.","FL"
"ind school dist","6","5","0.833","False","5","IND. SCHOOL DIST. 701 | IND SCHOOL DIST 911","MN"
"bucks county","10","8","0.8","False","","BUCKS COUNTY FISH AND GAME ASSOCIATION | BUCKS COUNTY FOUNDATION","PA"
"mcdonalds store","9","7","0.778","False","3","Upchurch Foods Inc | Sumpter Entprises, Inc.","FL"
"churchs chicken","4","3","0.75","False","5","QFS, Inc. | MidWest Hospitality","GA"
"commercial bank","4","3","0.75","False","5","COMMERCIAL BANK & TRUST COMPANY | Commercial Bank","TN"
"burger kingstore","6","4","0.667","False","7","AB III LLC | AB III, LLC","PA"
"noble finance","3","2","0.667","False","3","Noble Finance Corporation | Noble Finance Corporation","TX"
"taqueria de jalisco","3","2","0.667","False","3","Taqueria de Jalisco | Taqueria de Jalisco","TX"
"stripes store","3","2","0.667","False","3","7-Eleven, Inc. | 7-Eleven, Inc","TX"
"frutilandia","3","2","0.667","False","3","Frutilandia #4, Inc | Frutilandia #4, Inc.","TX"
"school district","3","2","0.667","False","3","SCHOOL DISTRICT 128 | SCHOOL DISTRICT 170","IL"
"ohio building","3","2","0.667","False","3","Ohio Building Services, Inc. | OHIO BUILDING SERVICE, INC","OH"
"wireless toyz","3","2","0.667","False","3","Wireless Toyz 145, LLC | Wireless Tozy, LLC","MI"
"hungry howies","3","2","0.667","False","3","Hungry Howie's #6, Inc. | Eaton Rapids Pizza Company","MI"
"luckys pub grilleluckys","3","2","0.667","False","3","BHK, LLC | Lucky's Southfield, LLC","MI"
"local union","3","2","0.667","False","3","LOCAL UNION 3548 | LOCAL UNION 126","PA"
"pizza hut","3","2","0.667","False","2","Pizza Hut of America, Inc. | Southeastern Pizza Group Two","GA"
"swarthmore","3","2","0.667","False","3","SWARTHMORE 1900 LLC | swarthmore 1865","NJ"
"marathon","3","2","0.667","False","5","R & R Tahkar Oil Company | 660 North Broadway Inc.","OH"
"harveys supermarket","3","2","0.667","False","6","JL Harvey Co., LLC | J L Harvey Co., LLC","GA"
"huddle house unit","3","2","0.667","False","5","DHH Investment Inc. | Wilson Bros. Foods, Inc.","GA"
"saint augustine","3","2","0.667","False","","SAINT AUGUSTINE AG | ST AUGUSTINE HOUSE OF PRAYER AND EVANGELIZATION CENTER INC","FL"
"evolution recycling","5","3","0.6","False","7","Evolution Recycling Inc. | Evolution Recycling Inc.","CA"
"waffle house","7","4","0.571","False","8","Hillcrest Foods dba Waffle House | Waffle House","NC"
"mcdonalds","22","11","0.5","False","3","M.S.Fountaine Enterprises LP | Hamburg Mac Inc","PA"
"burger king","10","5","0.5","False","2","Heartland Food Corporation | Liberty Restaurant Group, L.P.","IL"
"dominos pizza","4","2","0.5","False","3","Beach Pizza | Beach Pizza,Inc.","FL"
"dollar general","4","2","0.5","False","2","DOLLAR GENERAL #00539 | DOLLAR GENERAL #09587","OH"
"wal mart store","4","2","0.5","False","3","WAL-MART STORE # 1335 | WAL-MART STORE #1524","VA"
"skillets","2","1","0.5","False","3","Dirlynn Co., Inc | Dirlynn Co., Inc.","TX"
"transcend hospice","2","1","0.5","False","3","TRANSCEND HOSPICE 22 LLC | TRANSCEND HOSPICE 23 LLC","TX"
"7 eleven","2","1","0.5","False","2","G&K Marketplace, Inc. | Ramas 2 Inc.","TX"
"just brakes","2","1","0.5","False","2","Just Brakes Corporation | Just Brakes of Florida Inc.","FL"
"grande palms at tradition","2","1","0.5","False","3","GRANDE PALMS AT TRADITION II, LLC | GRANDE PALMS AT TRADITION I, LLC","FL"
"community high school district","2","1","0.5","False","3","COMMUNITY HIGH SCHOOL DISTRICT 99 | COMMUNITY HIGH SCHOOL DISTRICT #155","IL"
"lansing automotive","2","1","0.5","False","3","LANSING AUTOMOTIVE, L.L.C. | LANSING AUTOMOTIVE L, LLC","MI"
"cvs store","2","1","0.5","False","2","CVS/Pharmacy, Inc. | CVS Pharmacy, Inc.","NC"
"lighthouse","2","1","0.5","False","2","LIGHTHOUSE PC G | Lighthouse Fund LLC","TN"
"compassion house","2","1","0.5","False","2","COMPASSION HOUSE 2000 | COMPASSION HOUSE INC","VA"
"schlotzskys deli","2","1","0.5","False","3","Van Scoit Group LLC | Van Scoit Group LLC","TX"
"palm valley care facility","2","1","0.5","False","5","Sicat Care Hone, Inc. | Sicat Care Home, Inc.","CA"
"la quinta inn and suites","2","1","0.5","False","5","South Texas Hotels  LLP. | La Quinta Holdings, Inc.","TX"
"tropical smoothie cafe","2","1","0.5","False","4","TSC FL 147, Inc. | TSC-177, Inc.","FL"
"merced county","2","1","0.5","False","","MERCED, COUNTY OF | MERCED COUNTY WOMEN FOR AGRICULTURE","CA"
"madison county","2","1","0.5","False","","MADISON, COUNTY OF | MADISON COUNTY HEALTH & RECREATION ASSOCIATION SENIOR CENTER","TX"
"boca raton","2","1","0.5","False","","BOCA RATON CHRISTIAN SCHOOL INC | The Boca Raton LLC","FL"
"douglas county","2","1","0.5","False","","DOUGLAS, COUNTY OF | DOUGLAS COUNTY APARTMENTS, L P","IL"
"livingston county","2","1","0.5","False","","LIVINGSTON COUNTY OF | LIVINGSTON COUNTY COMMUNITY PANTRY","IL"
"miami county","2","1","0.5","False","","MIAMI COUNTY | MIAMI COUNTY RIGHT TO LIFE SOCIETY","OH"
"clermont county","2","1","0.5","False","","CLERMONT, COUNTY OF | Clermont County Auditor's Office","OH"
"macon county","2","1","0.5","False","","MACON COUNTY | MACON COUNTY GERMAN SHEPHERD RESCUE INC","NC"
"johnson city","2","1","0.5","False","","LP JOHNSON CITY LLC | JOHNSON CITY - WATAUGA WATER TREATMENT PLANT","TN"
"dollar general store","15","5","0.333","False","3","DOLLAR GENERAL STORE #4323 | DOLLAR GENERAL STORE #6445","PA"
"templo jerusalem","3","1","0.333","False","3","TEMPLO JERUSALEM 165 | TEMPLO JERUSALEM 125","TX"
"glens market","3","1","0.333","False","3","Spartan Stores, Inc. | Family Fare, LLC","MI"
"o reilly auto parts store","3","1","0.333","False","3","O'REILLY AUTO PARTS STORE #2293 | O'REILLY AUTO PARTS STORE 3323","MI"
"lowes home improvement store","3","1","0.333","False","3","Lowes Home Center, LLC | Lowes Home Centers LLC","NC"
"han dee hugos","3","1","0.333","False","3","Sampson-Bladen Oil Company, Inc | Sampon-Bladen Oil Company","NC"
"sams mart","3","1","0.333","False","3","OM3, Inc. | OM3, Inc. dba Sam's Mart #106","NC"
"648 jefferson","3","1","0.333","False","3","648 Jefferson N LLC | 648 Jefferson LLC","NJ"
"blackrock tempus","3","1","0.333","False","3","BlackRock Tempus Fund LLC | BlackRock Tempus Fund Ltd","WA"
"infinity","3","1","0.333","False","3","INFINITY 111 | INFINITY 88","CA"
"friends troop","16","5","0.312","False","2","FRIENDS OF TROOP 1378 | FRIENDS OF TROOP 181","PA"
