source,employer_name,city,state,zip,naics,workers_or_members,union_name,union_fnum,affiliation,sector,union_olms_sector,date,recognition_type,case_number,employer_id
F7_OLMS,Uptown Productions Inc.,New York,NY,10036,71,7800,SAG-AFTRA ,,,Private,,8/24/2022,F7_FILING,,5c73195635446bde
F7_OLMS,"The Stop & Shop Supermarket Company, LLC - CLERKS",Nanuet,NY,10954,44,7750,United Food & Commercial Workers Union 328,,,Private,,12/1/2021,F7_FILING,,87d8f94fa60e2ddf
F7_OLMS,Stop & Shop Supermarkets,Purchase,NY,10577,44,7283,UFCW Local 1500 1500,22675,UFCW,Private,PRIVATE,10/19/2020,F7_FILING,,c1bc623834f15177
F7_OLMS,Stop and Shop Companies,Purchase,NY,10577,44,7184,UFCW-1500,22675,UFCW,Private,PRIVATE,9/18/2017,F7_FILING,,51cbee2c2dc0356d
F7_OLMS,New York City School Bus Contractors ,New York,NY,10016,48,7000,ATU-1181,29994,ATU,Private,PRIVATE,3/5/2013,F7_FILING,,144e7b2279af9528
F7_OLMS,UPS,New York,NY,10036,48,7000,IBT-804,31841,IBT,Private,PRIVATE,6/24/2013,F7_FILING,,771a30d698f4fe85
F7_OLMS,The State Group,Cheektowago,NY,14206,23,7000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,,,Private,,3/30/2023,F7_FILING,,bd6b6a959b78f9f8
F7_OLMS,"Over & Under Piping Contractors, Inc.",Auburn,NY,13021,23,7000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,,,Private,,3/30/2023,F7_FILING,,07508a70c52381fb
F7_OLMS,"Otis Eastern Service, LLC",Wellsville,NY,14895,23,7000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,,,Private,,3/30/2023,F7_FILING,,53edf9d586df827c
F7_OLMS,UUP Inc.,Staten Island,NY,10303,23,7000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,,,Private,,3/30/2023,F7_FILING,,0d4c8e7a0bf59855
F7_OLMS,Partners In Care Inc.,New York,NY,10001,62,6221,SEIU/UHWE-1199,,,Private,,12/9/2016,F7_FILING,,b0339088d55ebac0
F7_OLMS,Association of Contracting Plumbers of he CNY,New York,NY,10001-4212,23,6000,UA-1,10417,PPF,Private,PRIVATE,4/29/2010,F7_FILING,,e67c5410b0972a22
F7_OLMS,See attached spreadsheets for employer names,New York,NY,10119,54,5800,International Union Of Operating Engineers 94-94A-94B,4156,IUOE,Private,PRIVATE,10/3/2022,F7_FILING,,27b793ea31528b01
F7_OLMS,Tops Market LLC (Buffalo Division),Williamsville,NY,14221-5855,44,5456,UFCW-1,,,Private,,1/13/2014,F7_FILING,,03bcddc613178b62
F7_OLMS,New York City School Support Services Inc.  - Expiration of the 2021 NYC School Support Services AGR,New York,NY,10036,,5314,Service Employees International Union 32BJ,,,Private,,4/25/2024,F7_FILING,,511194503199bf5c
F7_OLMS,"20 West 33rd Street Condo, c/o 60 Guilders LLC",New York,NY,10001,,5237,Service Employees International Union 32BJ,,,Private,,10/23/2023,F7_FILING,,801a1aeaa3bde821
F7_OLMS,League of Resident Theatres (LORT),New York,NY,10018,71,5119,Actors' Equity Association ,,,Private,,1/4/2023,F7_FILING,,86bf97c9d12029ec
F7_OLMS,Metropolitan Parking Association Inc.,New York,NY,10001-1933,48,5000,IBT-272,10930,IBT,Private,PRIVATE,8/13/2014,F7_FILING,,3801b83bf4cc4d7f
F7_OLMS,Day Care Council of New York Inc. (representing 100 employer organizations ,New York,NY,10010-6916,81,5000,AFSCME-205 DC 1707,507228,AFSCME,Public,PUBLIC_SECTOR,7/17/2014,F7_FILING,,2722a368a935b60e
F7_OLMS,Metropolitan Parking Association,Lynbrook,NY,11563,48,5000,International Brotherhood of Teamsters Local 272,10930,IBT,Private,PRIVATE,5/8/2023,F7_FILING,,373acc69319b023e
F7_OLMS,The Building Contractors Association,New York,NY,10016,23,5000,"International Union of Operating Engineers AFL-CIO Local 15, 15A, 15D",17061,IUOE,Private,PRIVATE,3/28/2023,F7_FILING,,30ca327109983030
F7_OLMS,see attached,see attached,NY,0,23,5000,International Union of Operating Engineers AFL-CIO Local 15C,17061,IUOE,Private,PRIVATE,7/19/2024,F7_FILING,,44ab6d02b74d315f
F7_OLMS,The Contractors Association of Greater New Yrok,New York,NY,10022,23,5000,"International Union of Operating Engineers AFL-CIO Local 15, 15A, 15D",17061,IUOE,Private,PRIVATE,3/28/2023,F7_FILING,,5a1c8ed5be8542c1
F7_OLMS,"Tops Markets, LLC - Buffalo Division",Buffalo,NY,14240,44,4951,United Food & Commercial Workers AFL-CIO One,,,Private,,1/3/2023,F7_FILING,,f64c927ee749b689
F7_OLMS,Rite Aid Corporation,Riverhead,NY,11901,62,4593,1199Service Employees International Union ,,,Private,,2/11/2025,F7_FILING,,59e416a5cd02efc0
F7_OLMS,Mechanical Contractors Association of New York Inc,New York,NY,10018,23,4500,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO 638,35070,PPF,Private,PRIVATE,1/26/2023,F7_FILING,,f0d7a962e2c828ab
F7_OLMS,The Stop & Shop Supermarket Company,Purchase,NY,10577,44,4327,UFCW Local 371,25718,UFCW,Private,PRIVATE,12/21/2018,F7_FILING,,024d32bee91cae2a
F7_OLMS,Allen Health Care Services,Forest Hills,NY,11375,62,4100,AFSCME District Council 37 389,516238,AFSCME,Public,PUBLIC_SECTOR,10/30/2020,F7_FILING,,2fd61b4d21c9f7d0
F7_OLMS,Premier Home Health Care Services Inc.,White Plains,NY,10601,62,4058,SEIU/UHWE-1199,,,Private,,12/9/2016,F7_FILING,,9a6fa4608adf0556
F7_OLMS,"Live Television Producers (NBC, CBS, ABC)",New York,NY,10112,71,4000,American Federation Of Musicians International,,,Private,,11/21/2023,F7_FILING,,c243f1e7868584c7
F7_OLMS,Global Elite Group,Garden City,NY,11530,,4000,Service Employees International Union 26,20339,SEIU,Public,PUBLIC_SECTOR,9/7/2023,F7_FILING,,2a4ea323eb0d837d
F7_OLMS,Orda Management Corp.,New York,NY,10003,56,4000,IUOE Local 94-94A-94B,4156,IUOE,Private,PRIVATE,11/13/2018,F7_FILING,,cbd62d96f8573f7e
F7_OLMS,General Contractors Association of New York  Inc. (Heavy Construction Carpenters),New York,NY,10165,23,4000,CJA-NYC DC & Vic ,,,Private,,3/20/2017,F7_FILING,,f41f45e75b106053
F7_OLMS,"Premier Home Health Care Services, Inc.",New York,NY,10018,62,4000,1199Service Employees International Union ,,,Private,,9/17/2025,F7_FILING,,931cf30cd47a5e5b
F7_OLMS,The Great A&P  d//b/a  Waldbaum's Inc. ,Mineola,NY,11501,44,3978,RWDSU / UFCW-338,11901,RWDSU,Private,PRIVATE,2/14/2011,F7_FILING,,11a107a0766fdd05
F7_OLMS,Kaleida Health System,Buffalo,NY,14203,62,3900,Communications Workers Of America AFL-CIO 1168,515463,CWA,Private,OTHER,3/5/2025,F7_FILING,,5025fd0e98203dee
F7_OLMS,The Stop & Shop Supermarket Company,Nanuet,NY,10954,44,3863,UFCW 371,25718,UFCW,Private,PRIVATE,12/30/2021,F7_FILING,,a89f7da7248774a9
F7_OLMS,New York Presbyterian Hospital ,New York,NY,10032,62,3830,New York State Nurses Association ,,,Private,,6/6/2025,F7_FILING,,0b7e00cbf4e4c721
F7_OLMS,Mt. Sinai Hospital,New York,NY,10029,62,3700,New York State Nurses Association ,,,Private,,6/6/2025,F7_FILING,,e7d3edf5e83275e8
F7_OLMS,NYU Hospitals Center - Tisch Hospital,New York,NY,10016,62,3683,1199 SEIU United Healthcare Workers East ,,,Private,,5/23/2018,F7_FILING,,124bcc94431cb37f
F7_OLMS,"Association of Master Painters and Decoration of New York, Inc.",New York,NY,10001,23,3640,PAT-9,,,Private,,1/24/2011,F7_FILING,,87938364087ee95b
F7_OLMS,Personal Touch Home Care Services,Bayside,NY,11361,62,3637,SEIU/UHWE-1199,,,Private,,12/9/2016,F7_FILING,,7076134db388a55f
F7_OLMS,Aron Security dba Arrow Security - (Exp. of the 2021-2024 Security Riders AGRS),Smithtown,NY,11787,,3636,Service Employees International Union 32BJ,,,Private,,2/23/2024,F7_FILING,,98b4b4a0071a1634
F7_OLMS,Association of Independent Commercial Producers Inc. (AICP),New York,NY,10011,71,3634,MPAM/IATSE-52,29299,IATSE,Private,PRIVATE,8/19/2014,F7_FILING,,0b9343204f3effc3
F7_OLMS,AGC - NY StateChapter,Albany,NY,12205-1025,23,3623,UBC-Empire State Regional Council,,,Private,,2/2/2010,F7_FILING,,d01c4328ec1df8af
F7_OLMS,Personal Touch Home Health Care (All Sites),Jamaica,NY,11432,62,3619,SEIU / UHWE-1199,,,Private,,10/1/2013,F7_FILING,,95f244508e46078b
F7_OLMS,Realty Advisory Board (RAB) and its members,New York,NY,10017,53,3527,IUOE-94-94A-94B,4156,IUOE,Private,PRIVATE,11/1/2010,F7_FILING,,f47f403373b7a62f
F7_OLMS,Restaurant Depot - General Agreement ,Whitestone,NY,11357,42,3511,UFCW  2013,60069,UFCW,Private,PRIVATE,5/18/2020,F7_FILING,,de8e0bfbcd95ccca
F7_OLMS,AGC Labor Relations Division Central NY Region,Albany,NY,,23,3500,IUOE-158,17173,IUOE,Private,PRIVATE,2/7/2012,F7_FILING,,a2170ae3003e8c28
F7_OLMS,Kaleida Health - All 1199 SEIU Bargaining Units,Buffalo,NY,14203,62,3500,Service Employees International Union/United Healthcare Workers East 1199,,,Private,,2/7/2025,F7_FILING,,d1a4b8be03f514bb
F7_OLMS,Assoc. of Wall-Ceiling & Carpentry Industries,Jericho,NY,11753,23,3500,New York City & Vicinity District Council of Carpenters ,,,Private,,4/4/2024,F7_FILING,,24f2ac07738c9e60
F7_OLMS,GES Exposition Services,New York,NY,10104-3300,23,3500,Teamsters-631,2927,IBT,Private,PRIVATE,4/18/2011,F7_FILING,,a179b862a752d8e3
F7_OLMS,Trustees of Columbia University in the City of NY,New York,NY,10027,,3500,"Student Workers of Columbia, UAW, and its Local Union SWC-UAW 2710 2710",546682,UAW,Private,PRIVATE,12/22/2024,F7_FILING,,afecb5c7ec5715d7
F7_OLMS,"Americare, Inc. ",Brooklyn,NY,11234,62,3485,UFCW  2013,60069,UFCW,Private,PRIVATE,2/8/2022,F7_FILING,,dd374dd1e3b16978
F7_OLMS,"Personal Touch Home Care of New York, Inc.",Long Island City,NY,11106,62,3435,1199Service Employees International Union ,,,Private,,9/18/2025,F7_FILING,,3be0c2b90d512316
F7_OLMS,Montefiore Medical Center,Bronx,NY,10467,62,3400,New York State Nurses Association ,,,Private,,6/6/2025,F7_FILING,,7d198d02f51c80be
F7_OLMS,Allen Health Care Services,Jamaica,NY,11432,62,3250,AFSCME-389 DC 1707,516238,AFSCME,Public,PUBLIC_SECTOR,12/12/2013,F7_FILING,,433d958e5516a090
F7_OLMS,Progressive Home Care ,New York,NY,10001,62,3169,SEIU / UHWE-1199,,,Private,,10/1/2013,F7_FILING,,35ef5a295b7e859a
F7_OLMS,Sound Recording Cos Areawide,New York,NY,10019-6188,71,3000,AFTRA-National Office,,,Private,,5/4/2010,F7_FILING,,9a9c4d12c3dbc431
F7_OLMS,JASA,New York,NY,10018,,3000,"District Council 37, AFSCME 215",507188,AFSCME,Public,PUBLIC_SECTOR,6/3/2024,F7_FILING,,ebaf23f868fd6b1c
F7_OLMS,Bronx Realty Advisory Board on Labor Relations Inc.,Yonkers,NY,10708,53,3000,SEIU-32BJ,,,Private,,1/14/2011,F7_FILING,,ab869fda27bd4b10
F7_OLMS,Tops Market LLC (Midstate),Buffalo,NY,14240-1027,44,2989,UFCW-1,,,Private,,1/9/2017,F7_FILING,,a036dd862dc4afdb
F7_OLMS,Premier Home Health Care Services Inc. (All Sites),White Plains,NY,10601-1847,62,2982,SEIU / UHWE-1199,,,Private,,10/1/2013,F7_FILING,,dc1b6a0bae7128ae
F7_OLMS,Niagara Mohawk Power Corporation - National Grid,Brooklyn,NY,11201,22,2950,IBEW-97,537398,IBEW,Private,PRIVATE,12/27/2016,F7_FILING,,6cbb1a581b3cc09a
F7_OLMS,"Best Care, Inc.",Levittown,NY,11756,62,2871,1199Service Employees International Union ,,,Private,,9/5/2025,F7_FILING,,2154a94d1ef2bcd2
F7_OLMS,New York Presbyterian Hospital/Columbia-Presbyterian Medical Center,New York,NY,10032,62,2851,NYSNA-,,,Private,,8/17/2010,F7_FILING,,8adfa3531826dcb2
F7_OLMS,Elevator Cos & Surrounding Areas  - ECUNY,Long Island City,NY,11101,31,2776,IUEC Local 1,32415,IUEC,Private,PRIVATE,1/2/2019,F7_FILING,,921d060a2496865f
F7_OLMS,The Jewish Board,New York,NY,10020,62,2690,"District Council 37, AFSCME 215",507188,AFSCME,Public,PUBLIC_SECTOR,9/27/2021,F7_FILING,,9083efdcf7451327
F7_OLMS,"Suffolk Bus Corp. & Suffolk Trans. Svcs., Inc. ",Bayshore,NY,11706,48,2673,"Transport Workers Union of America, Local 252, AFL-CIO 252",53171,TWU,Private,RAILROAD_AIRLINE_RLA,4/26/2022,F7_FILING,,299b98d17229ee1a
F7_OLMS,Parking Garage Cos New York & Vic - IBT Local 272,Various,NY,12345,81,2621,IBT-272,10930,IBT,Private,PRIVATE,1/14/2014,F7_FILING,,69d9ce798e0c59b0
F7_OLMS,Catholic Health System,Buffalo,NY,14203,62,2600,Communications Workers Of America AFL-CIO 1133 and 1168,,,Private,,3/24/2025,F7_FILING,,6e5cf83ff88cddee
F7_OLMS,"Association of Master Painters and Decorators of New York, Inc.",New York,NY,10001,23,2590,IUPAT District 9 Local,,,Private,,2/12/2019,F7_FILING,,3f1681c574983aa9
F7_OLMS,Assoc. of Master Painters and Decorators of NY,New York,NY,10001,23,2590,International Union of Painters & Allied Trades District Council 9,,,Private,,3/12/2024,F7_FILING,,9eeb72d989dddb69
F7_OLMS,"White Glove Community Care, Inc.",Brooklyn,NY,11206,62,2555,Service Employees International Union/United Healthcare Workers East ,,,Private,,10/22/2024,F7_FILING,,cf7c415f86408132
F7_OLMS,Montefiore Medical Center/Einstein College of Medicine,Bronx,NY,10467-2401,62,2554,NYSNA-,,,Private,,8/17/2010,F7_FILING,,750895dbf0b6b541
F7_OLMS,Fairway GRP Holdings Corp,New York,NY,10027,44,2521,UFCW 1500,22675,UFCW,Private,PRIVATE,7/30/2018,F7_FILING,,5db5fc4b29b7220e
F7_OLMS,Logan Bus Companies Inc. and Affiliates,Ozone Park,NY,11416,48,2500,United Crafts & Industrial Workers Local 91,,,Private,,7/14/2025,F7_FILING,,bb4c96e0e7ef142f
F7_OLMS,UPSTATE IRONWORKER EMPLOYERS ASSOCIATION INC.,CHEEKTOWAGA,NY,14227,23,2500,American Federation of Labor & Congress of Industrial Organizations ,,,Private,,11/15/2023,F7_FILING,,693d393c1f29f884
F7_OLMS,University Settlement,New York,NY,10002,,2500,"District Council 37, AFSCME 215",507188,AFSCME,Public,PUBLIC_SECTOR,6/10/2025,F7_FILING,,cb5e09e90cd443d6
F7_OLMS,Best Care Inc.,"Levittown,",NY,11756,62,2447,SEIU/UHWE-1199,,,Private,,12/9/2016,F7_FILING,,44af162b5aa789b0
F7_OLMS,Sheet Metal and Air Conditioning Contractors' Association of New York City (NYC SMACNA),Brooklyn,NY,11241,,2400,"International Association of Sheet Metal, Air, Rail & Transportation Workers/Sheet Metal Workers Local 28",,,Private,,7/25/2025,F7_FILING,,3d7c26ac279ecbc4
F7_OLMS,Crouse Hospital,Syracuse,NY,13210,62,2400,Service Employees International Union/United Healthcare Workers East 1199,,,Private,,12/6/2024,F7_FILING,,630b8c2450b34baa
F7_OLMS,"SMACNA of Long Island, Inc.",Bohemia,NY,11716,,2400,"International Association of Sheet Metal, Air, Rail & Transportation Workers/Sheet Metal Workers Local 28",,,Private,,7/25/2025,F7_FILING,,2835d7c23c1cd107
F7_OLMS,The Logan Bus Group,Ozone Park,NY,11416,48,2400,United Crafts & Idustrial Workers 91,,,Private,,5/17/2021,F7_FILING,,3aeee01ae85c7558
F7_OLMS,"Special Touch Home Care Services, Inc.",Brooklyn,NY,11223,62,2296,1199Service Employees International Union ,,,Private,,8/28/2025,F7_FILING,,1e8d9b25d8e64f86
F7_OLMS,Tops Markets Inc. ,Williamsville,NY,14221-5855,44,2290,UFCW-1,,,Private,,5/6/2014,F7_FILING,,27106f57ea910176
F7_OLMS,Shop Rite Stores,Florida,NY,10921-1021,44,2273,UFCW-1500,22675,UFCW,Private,PRIVATE,8/8/2013,F7_FILING,,e2b5c26a0db17b09
F7_OLMS,"Construction Employers Association of Central New York, Inc.",Syracuse,NY,13206,23,2260,International Union of Operating Engineers 158,17173,IUOE,Private,PRIVATE,11/26/2025,F7_FILING,,eb65a11f615333c7
F7_OLMS,"Associated General Contractors of New York State, LLC",Albany,NY,12205,23,2260,International Union of Operating Engineers 158,17173,IUOE,Private,PRIVATE,11/26/2025,F7_FILING,,82844ed916c92094
F7_OLMS,"Eastern Contractors Association, Inc.",Albany,NY,12205,23,2260,International Union of Operating Engineers 158,17173,IUOE,Private,PRIVATE,11/26/2025,F7_FILING,,d0862c337f97e3b9
F7_OLMS,"Construction Industry Association of Rochester, NY Inc.",Rochester,NY,14625,23,2260,International Union of Operating Engineers 158,17173,IUOE,Private,PRIVATE,11/26/2025,F7_FILING,,e390d7d7c0e878fe
F7_OLMS,"Associated General Contractors NY State, LLC",Albany,NY,12205,23,2258,International Union Of Operating Engineers 158,17173,IUOE,Private,PRIVATE,11/21/2022,F7_FILING,,a8d5a2aa30a675c4
F7_OLMS,Pharmacies and Community Healthcare of New York (SEIU Local 1199),New York,NY,10036,44,2257,SEIU/UHWE Local 1199,,,Private,,6/29/2018,F7_FILING,,63e0b0e20e7f630f
F7_OLMS,Century 21 Department Stores,New York,NY,10007,44,2242,UFCW-888,,,Private,,3/2/2017,F7_FILING,,0fc989822ecafa50
F7_OLMS,Bogopa Enterprises Inc.,LIC,NY,11101,44,2211,United Food & Commercial Workers 342,,,Private,,6/17/2024,F7_FILING,,c580cf866444a2a6
F7_OLMS,NYU Langone Hospital - Brooklyn (Lutheran Medical,New York,NY,10016,62,2190,1199 SEIU United Healthcare Workers East ,,,Private,,5/23/2018,F7_FILING,,6b788df3ec9c8c39
F7_OLMS,American Maritime Association (Member Companies),New York,NY,10022,48,2169,"Seafarers International Union of North America, Atlantic, Gulf, Lakes & Inland Waters ",,,Private,,3/23/2022,F7_FILING,,4a041a56da3d22e1
F7_OLMS,Building Restoration Contractors Association,Brooklyn,NY,11241,23,2100,International Union of Bricklayers & Allied Craftworkers 1,,,Private,,4/24/2023,F7_FILING,,26dbe2ae5f8c10dd
F7_OLMS,"Perrygreen, Ltd. Com",White Plains,NY,10601,23,2100,IUBAC 1,,,Private,,6/21/2021,F7_FILING,,a442c17c1f325549
F7_OLMS,Abcd Construction Corp.,Brooklyn,NY,11220,23,2100,IUBAC 1,,,Private,,6/9/2021,F7_FILING,,84f1d0d0a9520f9a
F7_OLMS,"Associated Brick Mason Contractors of Greater New York, Inc.",New York,NY,10007-3768,23,2100,IUBAC 1,,,Private,,5/21/2021,F7_FILING,,92f4262fe08726bf
F7_OLMS,Building Construction Association,New York,NY,10016,23,2100,IUBAC 1,,,Private,,5/21/2021,F7_FILING,,a7275465a18daf88
F7_OLMS,Tangent Construction,New York,NY,10001,23,2100,IUBAC 1,,,Private,,6/7/2021,F7_FILING,,1646e2380f23403e
F7_OLMS,"Suffolk Bus Corporation and Suffolk Transportation Service, Inc.",Bay Shore,NY,11706-7007,48,2100,TWU-252,53171,TWU,Private,RAILROAD_AIRLINE_RLA,4/11/2017,F7_FILING,,c72db2458016cb91
F7_OLMS,4 Star Building Services,Central Islip,NY,11722,23,2100,International Union of Bricklayers & Allied Craftworkers 1,,,Private,,4/28/2023,F7_FILING,,d541a8c82cece732
F7_OLMS,Attica Correctional Facility,Attica,NY,14011,92,2100,NYSCOPBA-,,,Private,,9/12/2011,F7_FILING,,8ceee6a01da856b9
F7_OLMS,"Jamaica Hospital Medical Center/ Medisys Ambulatory Services, Inc.",Jamaica,NY,11418,62,2092,SEIU UHWE Local 1199,,,Private,,7/2/2018,F7_FILING,,fcc5fefe5cb86484
F7_OLMS,New York Hotel & Motel Trades Council,New York,NY,10036,,2089,Office & Professional Employees International Union AFL-CIO 153,19065,OPEIU,Public,PUBLIC_SECTOR,3/27/2023,F7_FILING,,0d9aff41a846e531
F7_OLMS,Alliance for Health Inc.,Brooklyn,NY,11201,62,2084,SEIU / UHWE-1199,,,Private,,2/18/2014,F7_FILING,,1e2778f0e414b886
F7_OLMS,Alliance for Health Inc. (All Sites),Brooklyn,NY,11201,62,2069,SEIU / UHWE-1199,,,Private,,10/1/2013,F7_FILING,,017103e433724da3
F7_OLMS,General Contractors Assn. of NY [Timberman],New York,NY,10165,23,2000,New York City & Vicinity District Council of Carpenters ,,,Private,,3/9/2021,F7_FILING,,021ce2a87fab609d
F7_OLMS,General Contractors Assn. of NY [Carpenters],New York,NY,10165,23,2000,New York City & Vicinity District Council of Carpenters ,,,Private,,3/9/2021,F7_FILING,,6398dcbc2776965f
F7_OLMS,Mechanical Service Contrators Association of New York Inc,New York,NY,10018,23,2000,Enterprise Association Steamfitters 638,35070,PPF,Private,PRIVATE,3/2/2021,F7_FILING,,106bba9338ef0245
