employer_name,city,state,zip,naics,sector,employer_type,workers,union_names,union_count,affiliation,latest_date,time_period,data_sources,source_count,location_count,locations,canonical_group_id,ein,is_public_company,is_federal_contractor,primary_source,employer_id
"Stop & Shop Supermarket, Inc",Purchase,NY,10577,44,Private,CANONICAL_GROUP,8899,UFCW Local 371 | UFCW 371 | UFCW 464A | United Food & Commercial Workers 1459,4,UFCW,2021-12-30,Current,"F7, OSHA",1,3,Purchase | Nanuet | Long Island,214,,,,F7_OLMS,024d32bee91cae2a
"Local 804, IBT",queens,NY,11101,48,Private,SINGLE_EMPLOYER,8500,International Brotherhood Of Teamsters 804,1,IBT,2023-01-12,Current,"F7, 990",1,1,queens,,135624913,,,F7_OLMS,9dfff3561d2a5121
"Consolidated Edison Company of NY, Inc.",New York,NY,10003-3502,22,Private,SINGLE_EMPLOYER,8234,Utility Workers Union-1-2,1,UWU,2012-03-14,Historical,"F7, OSHA",1,1,New York,,,,Y,F7_OLMS,249f940034538ede
Verizon - New England,New York,NY,10001,54,Private,SINGLE_EMPLOYER,8100,IBEW-Multi Sys Council  T-6 ,1,,2011-05-27,Historical,F7,0,1,New York,,,,,F7_OLMS,98128d075661e9f7
"Premier Home Health Care Services, Inc.",New York,NY,10018,62,Private,CANONICAL_GROUP,8058,SEIU/UHWE-1199 | 1199Service Employees International Union ,2,,2025-09-17,Current,"F7, OSHA, WHD, SAM",2,2,White Plains | New York,9928,,,,F7_OLMS,931cf30cd47a5e5b
"The Stop & Shop Supermarket Company, LLC  (Cle",Purchase,NY,10577,44,Private,SINGLE_EMPLOYER,7820,United Food & Commercial Workers Union 328,1,,2018-12-13,Historical,F7,0,1,Purchase,,,,,F7_OLMS,a4c72614cd8ffeef
Uptown Productions Inc.,New York,NY,10036,71,Private,SINGLE_EMPLOYER,7800,SAG-AFTRA ,1,,2022-08-24,Current,"F7, SAM, Mergent",2,1,New York,,,,,F7_OLMS,5c73195635446bde
"The Stop & Shop Supermarket Company, LLC - CLERKS",Nanuet,NY,10954,44,Private,SINGLE_EMPLOYER,7750,United Food & Commercial Workers Union 328,1,,2021-12-01,Current,F7,0,1,Nanuet,,,,,F7_OLMS,87d8f94fa60e2ddf
Allen Health Care Services,Forest Hills,NY,11375,62,Public,CANONICAL_GROUP,7350,AFSCME District Council 37 389 | AFSCME-389 DC 1707,2,AFSCME,2020-10-30,Current,"F7, OSHA",1,2,Forest Hills | Jamaica,10842,,,,F7_OLMS,2fd61b4d21c9f7d0
Stop & Shop Supermarkets,Purchase,NY,10577,44,Private,SINGLE_EMPLOYER,7283,UFCW Local 1500 1500,1,UFCW,2020-10-19,Current,"F7, OSHA",1,1,Purchase,,,,,F7_OLMS,c1bc623834f15177
Stop and Shop Companies,Purchase,NY,10577,44,Private,SINGLE_EMPLOYER,7184,UFCW-1500,1,UFCW,2017-09-18,Historical,F7,0,1,Purchase,,,,,F7_OLMS,51cbee2c2dc0356d
"Over & Under Piping Contractors, Inc.",Auburn,NY,13021,23,Private,SINGLE_EMPLOYER,7000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,1,,2023-03-30,Current,"F7, OSHA",1,1,Auburn,,,,,F7_OLMS,07508a70c52381fb
The State Group,Cheektowago,NY,14206,23,Private,SINGLE_EMPLOYER,7000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,1,,2023-03-30,Current,F7,0,1,Cheektowago,,,,,F7_OLMS,bd6b6a959b78f9f8
UUP Inc.,Staten Island,NY,10303,23,Private,SINGLE_EMPLOYER,7000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,1,,2023-03-30,Current,F7,0,1,Staten Island,,,,,F7_OLMS,0d4c8e7a0bf59855
New York City School Bus Contractors ,New York,NY,10016,48,Private,SINGLE_EMPLOYER,7000,ATU-1181,1,ATU,2013-03-05,Historical,"F7, 990",1,1,New York,,,,,F7_OLMS,144e7b2279af9528
UPS,New York,NY,10036,48,Private,SINGLE_EMPLOYER,7000,IBT-804,1,IBT,2013-06-24,Historical,"F7, OSHA, WHD",2,1,New York,,,,,F7_OLMS,771a30d698f4fe85
"Otis Eastern Service, LLC",Wellsville,NY,14895,23,Private,SINGLE_EMPLOYER,7000,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO ,1,,2023-03-30,Current,"F7, WHD",1,1,Wellsville,,,,,F7_OLMS,53edf9d586df827c
Rite Aid Corporation,Riverhead,NY,11901,62,Private,CANONICAL_GROUP,6586,1199Service Employees International Union  | United Food & Commercial Workers AFL-CIO Local 880 | UFCW-876 | United Food & Commercial Workers 5,4,UFCW,2025-04-11,Current,"F7, OSHA, WHD",2,3,Riverhead | Vestal | New York,12238,,,,F7_OLMS,59e416a5cd02efc0
Partners In Care Inc.,New York,NY,10001,62,Private,SINGLE_EMPLOYER,6221,SEIU/UHWE-1199,1,,2016-12-09,Historical,"F7, 990, SAM",2,1,New York,,,,,F7_OLMS,b0339088d55ebac0
Association of Contracting Plumbers of he CNY,New York,NY,10001-4212,23,Private,SINGLE_EMPLOYER,6000,UA-1,1,PPF,2010-04-29,Historical,F7,0,1,New York,,,,,F7_OLMS,e67c5410b0972a22
The Building Contractors Association,New York,NY,10016,23,Private,CANONICAL_GROUP,5860,"International Union of Operating Engineers AFL-CIO Local 15, 15A, 15D | INTERNATIONAL UNION OF OPERATING ENGINEERS 137 | North E Region of Carpenters-",3,IUOE,2024-12-30,Current,"F7, NLRB",1,3,New York | Tarrytown | Hawthorne,5211,,,Y,F7_OLMS,30ca327109983030
See attached spreadsheets for employer names,New York,NY,10119,54,Private,SINGLE_EMPLOYER,5800,International Union Of Operating Engineers 94-94A-94B,1,IUOE,2022-10-03,Current,F7,0,1,New York,,,,,F7_OLMS,27b793ea31528b01
Tops Market LLC (Buffalo Division),Williamsville,NY,14221-5855,44,Private,CANONICAL_GROUP,5548,UFCW-1 | UFCW-23,2,,2014-02-03,Historical,F7,0,2,Williamsville | Buffalo,4254,,,,F7_OLMS,03bcddc613178b62
"Best Care, Inc.",Levittown,NY,11756,62,Private,CANONICAL_GROUP,5318,1199Service Employees International Union  | SEIU/UHWE-1199,2,,2025-09-05,Current,F7,0,2,"Levittown | Levittown,",10988,,,,F7_OLMS,2154a94d1ef2bcd2
New York City School Support Services Inc.  - Expiration of the 2021 NYC School Support Services AGR,New York,NY,10036,,Private,SINGLE_EMPLOYER,5314,Service Employees International Union 32BJ,1,,2024-04-25,Current,F7,0,1,New York,,,,,F7_OLMS,511194503199bf5c
"20 West 33rd Street Condo, c/o 60 Guilders LLC",New York,NY,10001,,Private,SINGLE_EMPLOYER,5237,Service Employees International Union 32BJ,1,,2023-10-23,Current,F7,0,1,New York,,,,,F7_OLMS,801a1aeaa3bde821
League of Resident Theatres (LORT),New York,NY,10018,71,Private,SINGLE_EMPLOYER,5119,Actors' Equity Association ,1,,2023-01-04,Current,F7,0,1,New York,,,,,F7_OLMS,86bf97c9d12029ec
"Council of Utility Contractors, Inc.",Cheektowaga,NY,14227,23,Private,CANONICAL_GROUP,5100,International Union of Operating Engineers 17 | IUOE-17 | LIUNA-210,3,IUOE,2024-12-17,Current,"F7, OSHA, 990",1,5,Cheektowaga | Niagara Falls | Arcade | Buffalo | Bowmansville,1455,160953428,,,F7_OLMS,20f12cd7ed23cfcb
Day Care Council of New York Inc. (representing 100 employer organizations ,New York,NY,10010-6916,81,Public,SINGLE_EMPLOYER,5000,AFSCME-205 DC 1707,1,AFSCME,2014-07-17,Historical,F7,0,1,New York,,,,,F7_OLMS,2722a368a935b60e
The Contractors Association of Greater New Yrok,New York,NY,10022,23,Private,SINGLE_EMPLOYER,5000,"International Union of Operating Engineers AFL-CIO Local 15, 15A, 15D",1,IUOE,2023-03-28,Current,F7,0,1,New York,,,,,F7_OLMS,5a1c8ed5be8542c1
see attached,see attached,NY,00000,23,Private,SINGLE_EMPLOYER,5000,International Union of Operating Engineers AFL-CIO Local 15C,1,IUOE,2024-07-19,Current,F7,0,1,see attached,,,,,F7_OLMS,44ab6d02b74d315f
"Tops Markets, LLC - Buffalo Division",Buffalo,NY,14240,44,Private,SINGLE_EMPLOYER,4951,United Food & Commercial Workers AFL-CIO One,1,,2023-01-03,Current,F7,0,1,Buffalo,,,,,F7_OLMS,f64c927ee749b689
Association of Independent Commercial Producers Inc. (AICP),New York,NY,10011,71,Private,CANONICAL_GROUP,4734,MPAM/IATSE-52 | IATSE-,2,IATSE,2014-08-19,Historical,F7,0,1,New York,14398,,,,F7_OLMS,0b9343204f3effc3
Mechanical Contractors Association of New York Inc,New York,NY,10018,23,Private,SINGLE_EMPLOYER,4500,United Association of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry of the United States & Canada AFL-CIO 638,1,PPF,2023-01-26,Current,"F7, 990",1,1,New York,,133202329,,,F7_OLMS,f0d7a962e2c828ab
Alliance for Health Inc.,Brooklyn,NY,11201,62,Private,CANONICAL_GROUP,4056,SEIU / UHWE-1199 | SEIU/UHWE-1199,2,,2016-12-09,Historical,"F7, OSHA, SAM",2,2,Brooklyn | New Rochelle,645,,,,F7_OLMS,1e2778f0e414b886
Assoc. of Wall-Ceiling & Carpentry Industries,Jericho,NY,11753,23,Private,CANONICAL_GROUP,4000,"New York City & Vicinity District Council of Carpenters  | International Union of Painters & Allied Trades Local 1974, District Council 9",2,PAT,2024-04-04,Current,"F7, 990",1,1,Jericho,10935,112558447,,,F7_OLMS,24f2ac07738c9e60
General Contractors Association of New York  Inc. (Heavy Construction Carpenters),New York,NY,10165,23,Private,SINGLE_EMPLOYER,4000,CJA-NYC DC & Vic ,1,,2017-03-20,Historical,F7,0,1,New York,,,,,F7_OLMS,f41f45e75b106053
Global Elite Group,Garden City,NY,11530,,Public,SINGLE_EMPLOYER,4000,Service Employees International Union 26,1,SEIU,2023-09-07,Current,"F7, OSHA, WHD, Mergent",3,1,Garden City,,,,,F7_OLMS,2a4ea323eb0d837d
Orda Management Corp.,New York,NY,10003,56,Private,SINGLE_EMPLOYER,4000,IUOE Local 94-94A-94B,1,IUOE,2018-11-13,Historical,F7,0,1,New York,,,,,F7_OLMS,cbd62d96f8573f7e
"Live Television Producers (NBC, CBS, ABC)",New York,NY,10112,71,Private,SINGLE_EMPLOYER,4000,American Federation Of Musicians International,1,,2023-11-21,Current,F7,0,1,New York,,,,,F7_OLMS,c243f1e7868584c7
The Great A&P  d//b/a  Waldbaum's Inc. ,Mineola,NY,11501,44,Private,SINGLE_EMPLOYER,3978,RWDSU / UFCW-338,1,RWDSU,2011-02-14,Historical,F7,0,1,Mineola,,,,,F7_OLMS,11a107a0766fdd05
Bogopa Enterprises Inc.,LIC,NY,11101,44,Private,CANONICAL_GROUP,3969,United Food & Commercial Workers 342 | U.F.C.W Local 342 342,2,,2024-06-17,Current,F7,0,2,LIC | Brooklyn,5142,,,,F7_OLMS,c580cf866444a2a6
Kaleida Health System,Buffalo,NY,14203,62,Private,SINGLE_EMPLOYER,3900,Communications Workers Of America AFL-CIO 1168,1,CWA,2025-03-05,Current,F7,0,1,Buffalo,,,,Y,F7_OLMS,5025fd0e98203dee
New York Presbyterian Hospital ,New York,NY,10032,62,Private,CANONICAL_GROUP,3850,New York State Nurses Association  | International Union of Operating Engineers AFL-CIO 30,2,IUOE,2025-06-06,Current,"F7, OSHA, NLRB, WHD, 990, SAM",4,2,New York | Purchase,6789,133957095,,,F7_OLMS,0b7e00cbf4e4c721
Aron Security dba Arrow Security - (Exp. of the 2021-2024 Security Riders AGRS),Smithtown,NY,11787,,Private,CANONICAL_GROUP,3738,Service Employees International Union 32BJ,1,,2025-07-11,Current,"F7, WHD, SAM",2,1,Smithtown,843,,,,F7_OLMS,98b4b4a0071a1634
General Motors Components Holding,Lockport,NY,14094,31,Private,CANONICAL_GROUP,3730,UAW-686 Unit 8 | UAW Local 686 | UAW Local 1097 | UAW-1097,4,UAW,2019-07-15,Historical,"F7, OSHA, WHD",2,2,Lockport | Rochester,8980,,,,F7_OLMS,cae116f7706c32a1
Mt. Sinai Hospital,New York,NY,10029,62,Private,CANONICAL_GROUP,3711,New York State Nurses Association  | SEIU Local 32BJ,2,,2025-06-06,Current,"F7, OSHA, NLRB, WHD, 990",4,1,New York,11974,464242915,,,F7_OLMS,e7d3edf5e83275e8
NYU Hospitals Center - Tisch Hospital,New York,NY,10016,62,Private,SINGLE_EMPLOYER,3683,1199 SEIU United Healthcare Workers East ,1,,2018-05-23,Historical,"F7, OSHA",1,1,New York,,,,,F7_OLMS,124bcc94431cb37f
"Association of Master Painters and Decoration of New York, Inc.",New York,NY,10001,23,Private,SINGLE_EMPLOYER,3640,PAT-9,1,,2011-01-24,Historical,"F7, 990",1,1,New York,,,,,F7_OLMS,87938364087ee95b
Personal Touch Home Care Services,Bayside,NY,11361,62,Private,SINGLE_EMPLOYER,3637,SEIU/UHWE-1199,1,,2016-12-09,Historical,"F7, WHD",1,1,Bayside,,,,,F7_OLMS,7076134db388a55f
AGC - NY StateChapter,Albany,NY,12205-1025,23,Private,SINGLE_EMPLOYER,3623,UBC-Empire State Regional Council,1,,2010-02-02,Historical,F7,0,1,Albany,,,,,F7_OLMS,d01c4328ec1df8af
Personal Touch Home Health Care (All Sites),Jamaica,NY,11432,62,Private,SINGLE_EMPLOYER,3619,SEIU / UHWE-1199,1,,2013-10-01,Historical,F7,0,1,Jamaica,,,,,F7_OLMS,95f244508e46078b
Chinese-American Planning Council Home Attendant Program Inc.,New York,NY,10013,62,Private,CANONICAL_GROUP,3612,SEIU/UHWE -1199 | SEIU/UHWE-1199,2,,2016-12-09,Historical,F7,0,1,New York,8523,,,,F7_OLMS,9c953421c0b0954b
GES Exposition Services,New York,NY,10104-3300,23,Private,CANONICAL_GROUP,3500,Teamsters-631,1,IBT,2011-04-18,Historical,F7,0,1,New York,173,,,,F7_OLMS,a179b862a752d8e3
AGC Labor Relations Division Central NY Region,Albany,NY,,23,Private,SINGLE_EMPLOYER,3500,IUOE-158,1,IUOE,2012-02-07,Historical,F7,0,1,Albany,,,,,F7_OLMS,a2170ae3003e8c28
Kaleida Health - All 1199 SEIU Bargaining Units,Buffalo,NY,14203,62,Private,SINGLE_EMPLOYER,3500,Service Employees International Union/United Healthcare Workers East 1199,1,,2025-02-07,Current,F7,0,1,Buffalo,,,,,F7_OLMS,d1a4b8be03f514bb
Trustees of Columbia University in the City of NY,New York,NY,10027,,Private,SINGLE_EMPLOYER,3500,"Student Workers of Columbia, UAW, and its Local Union SWC-UAW 2710 2710",1,UAW,2024-12-22,Current,"F7, NLRB",1,1,New York,,,,Y,F7_OLMS,afecb5c7ec5715d7
"Americare, Inc. ",Brooklyn,NY,11234,62,Private,SINGLE_EMPLOYER,3485,UFCW  2013,1,UFCW,2022-02-08,Current,"F7, OSHA, WHD, SAM",3,1,Brooklyn,,,,,F7_OLMS,dd374dd1e3b16978
"Personal Touch Home Care of New York, Inc.",Long Island City,NY,11106,62,Private,SINGLE_EMPLOYER,3435,1199Service Employees International Union ,1,,2025-09-18,Current,"F7, SAM",1,1,Long Island City,,,,,F7_OLMS,3be0c2b90d512316
