local_number,local_name,city,state,zip,phone,email,website,leadership_name,leadership_title,divisions,full_address,latitude,longitude,scraped_at
22,Teamsters LU No 22,Collinsville,VA,24078,(276) 647-3991,teamsterslocal22@mail.com,,Steven Rossman,Secretary-Treasurer,Package Division,"97 Belmont St, PO 368 Collinsville VA , 24078",36.712106,-79.909327,2026-02-03T08:59:28.293487
24,Teamsters LU No 24,Akron,OH,44333,(234) 888-0848,teamsterslocal24@sbcglobal.net,https://www.teamsterslocal24.org,Travis W. Bornstein,President,"Brewery, Bakery, & Soft Drink, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Tankhaul Division","3070 West Market St., #201 Akron OH , 44333",41.129082,-81.612235,2026-02-03T08:59:28.293491
25,Teamsters LU No 25,Boston,MA,02129,(617) 241-8825,,https://www.teamsterslocal25.com,Thomas G. Mari,President,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Express Division, Freight Division, Industrial Trades Division, Motion Picture and Theratical Trade Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","544 Main Street Boston MA , 02129",42.383707,-71.072801,2026-02-03T08:59:28.293495
26,Teamsters LU No 26,Champaign,IL,61820,(217) 352-2236,pgleason@teamsters26.org,https://www.teamsters26.org,Patrick A. Gleason,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","908 N. Neil Street Champaign IL , 61820",40.124619,-88.243082,2026-02-03T08:59:28.293498
29,Teamsters LU No 29,Verona,VA,24482,(540) 248-1200,,https://www.teamsters29.org,Jeffrey N. Vaughan,Secretary-Treasurer,"Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Warehouse Division","12 Cedar Park Lane Verona VA , 24482",38.187396,-78.994169,2026-02-03T08:59:28.293501
30,Teamsters LU No 30,Jeannette,PA,15644,(724) 527-1523,teamsters30@verizon.net,https://teamsterslocal30.com/,Eugene P. Bosetti,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","720 Lowry Avenue Jeannette PA , 15644",40.319048,-79.616615,2026-02-03T08:59:28.293504
31,Teamsters LU No 31,Delta BC,CN,V3M 5S1,(604) 540-6009,teamsters31@klondiker.com,https://www.teamsters31.ca,Stan Hennessy,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","1 Grosvenor Square Delta BC CN , V3M 5S1",49.181619,-122.929547,2026-02-03T08:59:28.293507
35,Teamsters LU No 35,Trenton,NJ,08691,(609) 585-4400,president@teamsters35.com,,"Roger F. Grover, Jr.",President,"Airline Division, Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","620 U.S. Route 130 Trenton NJ , 08691",40.190391,-74.65189,2026-02-03T08:59:28.293510
38,Teamsters LU No 38,Everett,WA,98201,(425) 252-3800,teamsters38@teamsters38.org,https://www.teamsters38.org,Samantha W. Kantak,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Freight Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","2601 Everett, Bx 1548 Everett WA , 98201",47.982118,-122.195406,2026-02-03T08:59:28.293512
41,Teamsters LU No 41,Kansas City,MO,64153,(816) 924-2000,teamsters41@aol.com,https://www.teamsters41.org,Joseph Monslow,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","10525 N. Ambassador Drive Suite 200 Kansas City MO , 64153",39.043016,-94.52465,2026-02-03T08:59:28.293515
42,Teamsters LU No 42,Lynnfield,MA,01940,(781) 598-2360,teamsterslocal42@aol.com,https://www.teamsterslocal42.com,Joseph Benevento,President,"Building Material and Construction Trade Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","230 Broadway, Unit 103 Lynnfield MA , 01940",42.509716,-71.012268,2026-02-03T08:59:28.293519
50,Teamsters LU No 50,Swansea,IL,62226,(618) 233-0313,info@teamsters50.com,https://teamsters50.com/,Pat Nichols,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division","1609 North Illinois Street Swansea IL , 62226",38.532866,-89.983155,2026-02-03T08:59:28.293523
52,Teamsters LU No 52,Valley View,OH,44125,(440) 243-2927,dddl52@ameritech.net,https://www.teamsterslocal52.com,David D. Dudas,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Food Processing Division, Industrial Trades Division, Public Services and Health Care Division","8001 Sweet Valley Drive Suite 3 Valley View OH , 44125",41.396894,-81.625231,2026-02-03T08:59:28.293526
58,Teamsters LU No 58,Vancouver,WA,98661,(360) 693-5841,info@teamsters58.com,https://teamsters58.org,"Walter LaChapelle, III",Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","2212 NE Andresen Road Vancouver WA , 98661",45.638839,-122.601123,2026-02-03T08:59:28.293529
59,Teamsters LU No 59,New Bedford,MA,02740,(508) 993-1505,teamsters.nb@verizon.net,https://www.teamsters59.org,George F. Belanger,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","27 South Sixth Street New Bedford MA , 02740",41.632116,-70.927514,2026-02-03T08:59:28.293532
61,Teamsters LU No 61,Asheville,NC,28806,(828) 665-2834,brianball@teamsters61.com,https://www.teamster61.org,Brian Ball,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Food Processing Division, Freight Division, Industrial Trades Division, Motion Picture and Theratical Trade Division, Package Division, Warehouse Division","45 Sardis Road Asheville NC , 28806",35.52834,-82.611744,2026-02-03T08:59:28.293535
63,Teamsters LU No 63,Rialto,CA,92376,(909) 877-2452,,https://www.teamsters63.org,Randy Cammack,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","379 West Valley Boulevard Rialto CA , 92376",34.069645,-117.376444,2026-02-03T08:59:28.293538
70,Teamsters LU No 70,Oakland,CA,94621,(510) 569-9317,ibt70@teamsterslocal70.org,https://www.teamsterslocal70.org,Felix Martinez,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Express Division, Food Processing Division, Freight Division, Motion Picture and Theratical Trade Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","400 Roland Way Oakland CA , 94621",37.740941,-122.204294,2026-02-03T08:59:28.293541
71,Teamsters LU No 71,Charlotte,NC,28214,(704) 596-2475,local71@teamsterslocal71.com,https://www.teamsterslocal71.com,Willie Ford,President,"Building Material and Construction Trade Division, Food Processing Division, Freight Division, Motion Picture and Theratical Trade Division, Package Division, Public Services and Health Care Division, Warehouse Division","2529 Beltway Blvd Charlotte NC , 28214",35.258457,-80.984566,2026-02-03T08:59:28.293545
77,Teamsters LU No 77,Fort Washington,PA,19034,(215) 542-7757,office@teamsters77.org,https://www.teamsters77.org,"Robert J. Miller, Jr.",Secretary-Treasurer,Public Services and Health Care Division,"540 Pennsylvania Ave #315 Fort Washington PA , 19034",40.131814,-75.203351,2026-02-03T08:59:28.293547
79,Teamsters LU No 79,Tampa,FL,33619-1033,(813) 621-1391,ibtlocal79@teamsters79.com,https://www.teamsterslocal79.org,Brian A. Rothman,President,"Brewery, Bakery, & Soft Drink, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division","5818 E. MLK Jr. Blvd Tampa FL , 33619-1033",27.982099,-82.39042,2026-02-03T08:59:28.293549
81,Teamsters LU No 81,Portland,OR,97230,(503) 251-2381,tom@teamsters81.org,https://www.teamsters81.org,Thomas G. Strickland,Secretary-Treasurer,"Building Material and Construction Trade Division, Freight Division, Industrial Trades Division, Package Division, Tankhaul Division","1874 NE 162nd Avenue Portland OR , 97230",45.536089,-122.492167,2026-02-03T08:59:28.293552
87,Teamsters LU No 87,Bakersfield,CA,93301,(661) 327-8594,teamsters87@sbcglobal.net,https://www.teamsterslocal87.org,John Moralez,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","2531 'G' Street Bakersfield CA , 93301",35.382541,-119.02266,2026-02-03T08:59:28.293554
89,Teamsters LU No 89,Louisville,KY,40215,(502) 368-5885,info@teamsters89.com,https://www.teamsters89.com,Avral Thompson,President,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","3813 Taylor Boulevard Louisville KY , 40215",38.188497,-85.782995,2026-02-03T08:59:28.293557
90,Teamsters LU No 90,Des Moines,IA,50317,(515) 262-3194,,https://www.teamsterslocal90.org,Alano De La Rosa,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","2425 Delaware Avenue Des Moines IA , 50317",41.617919,-93.581212,2026-02-03T08:59:28.293560
91,Teamsters LU No 91,Ottawa Ont,CN,K1G 5T4,(613) 247-9191,bmacdonald@teamsters91.ca,https://www.teamsters91.com,Roy Graham,President,"Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","1300 Ages Drive Ottawa Ont CN , K1G 5T4",45.38507,-75.605163,2026-02-03T08:59:28.293562
92,Teamsters LU No 92,Canton,OH,44707,(330) 453-0135,,,Damian Kungle,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","1127 Ninth Street SW Canton OH , 44707",40.793724,-81.386822,2026-02-03T08:59:28.293565
95,Teamsters LU No 95,Williamsburg,VA,23185,(757) 253-2919,business.agent@teamsterslocal95.com,,Bryan Bishop,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink","7294 Merrimac Trail Williamsburg VA , 23185",37.256047,-76.666562,2026-02-03T08:59:28.293567
96,Teamsters LU No 96,Suitland,MD,20746,(240) 619-3151,teamsters96@comcast.net,https://www.ibtlocal96.com,Wilder Reed,President,,"5627 Allentown, #202 Suitland MD , 20746",38.810877,-76.897592,2026-02-03T08:59:28.293570
97,Teamsters LU No 97,Clark,NJ,07066,(732) 381-1090,teamsterslocal.ninetyseven@verizon.net,https://www.teamsterslocal97.org,Maria S. Perez,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Industrial Trades Division, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","136 Central Avenue Clark NJ , 07066",40.629602,-74.307694,2026-02-03T08:59:28.293573
100,Teamsters LU No 100,Cincinnati,OH,45241,(513) 769-5100,sarahm@teamsterslocal100.com,https://www.teamsterslocal100.com,William C. Davis,President,"Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Express Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","2100 Oak Road Cincinnati OH , 45241",39.261825,-84.439443,2026-02-03T08:59:28.293576
104,Teamsters LU No 104,Phoenix,AZ,85009,(602) 272-5561,teamsters@teamsterslocal104.com,https://www.teamsterslocal104.com,Karla Schumann,Secretary-Treasurer,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Motion Picture and Theratical Trade Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","1450 South 27th Ave. Phoenix AZ , 85009",33.433637,-112.117837,2026-02-03T08:59:28.293579
106,Teamsters LU No 106,Montreal Que,CN,H1B 5X1,(514) 645-9016,,,Denis Ouellette,President,"Freight Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","12100 P.U.Charbonneau Montreal Que CN , H1B 5X1",45.63098,-73.497744,2026-02-03T08:59:28.293581
107,Teamsters LU No 107,Philadelphia,PA,19154,(215) 552-0070,office@teamsters107.com,https://www.teamsters107.com,William Hamilton,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","12275 Townsend Road Philadelphia PA , 19154",40.102527,-74.983515,2026-02-03T08:59:28.293584
110,Teamsters LU No 110,Ebensburg,PA,15931,(814) 472-6646,rkeller1022@gmail.com,,Darrell P. Watt,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","Post Office Box 180 Ebensburg PA , 15931",40.684554,-78.418527,2026-02-03T08:59:28.293586
115,Teamsters LU No 115,Philadelphia,PA,19154,(215) 335-0100,mail@teamsters115.org,,Shane P. Reilly,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","10965 Decatur Road Philadelphia PA , 19154",40.091864,-74.991157,2026-02-03T08:59:28.293588
117,Teamsters LU No 117,Tukwila,WA,98168-4652,(206) 441-4860,,https://www.teamsters117.org,Paul Dascher,Secretary-Treasurer,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Motion Picture and Theratical Trade Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","14675 Interurban S307 Tukwila WA , 98168-4652",47.471817,-122.255166,2026-02-03T08:59:28.293591
118,Teamsters LU No 118,Rochester,NY,14623,(585) 256-1350,,https://www.teamsterslocal118.org,Timothy L. Barbeto,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","130 Metro Park Rochester NY , 14623",43.097924,-77.617563,2026-02-03T08:59:28.293595
120,Teamsters LU No 120,Blaine,MN,55434,(763) 267-6120,info@teamsterslocal120.org,https://www.teamsterslocal120.org,Tom Erickson,President,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","9422 Ulysses NE, #120 Blaine MN , 55434",45.141103,-93.238338,2026-02-03T08:59:28.293597
122,Teamsters LU No 122,Boston,MA,02124,(617) 268-6855,teamsterslocal122@gmail.com,https://www.ibtlocal122.org,Christopher O'Leary,Secretary-Treasurer,,"100 Hallet Street Suite 202 Boston MA , 02124",42.341297,-71.048221,2026-02-03T08:59:28.293601
125,Teamsters LU No 125,Wayne,NJ,07470,(973) 790-8300,,https://www.teamsters125.org,Paxton Ryan,President,"Brewery, Bakery, & Soft Drink, Food Processing Division, Industrial Trades Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","585 Hamburg Tnpk 2nd Wayne NJ , 07470",40.954528,-74.217355,2026-02-03T08:59:28.293603
127,Teamsters LU No 127,Milford,MA,01757,(508) 473-0510,teamsters127@verizon.net,https://www.teamsters127.org,George McGilloway,Secretary-Treasurer,Public Services and Health Care Division,"197 Main Street, Suite 201 Milford MA , 01757",42.140442,-71.520672,2026-02-03T08:59:28.293605
135,Teamsters LU No 135,Indianapolis,IN,46225,(317) 639-3541,,https://www.local135.com,Dustin T. Roach,President,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","2829 Madison Avenue Indianapolis IN , 46225",39.755263,-86.158876,2026-02-03T08:59:28.293608
137,Teamsters LU No 137,Redding,CA,96001,(530) 243-0232,contact@teamsters137.com,https://www.teamsters137.com,Russ Butler,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","3540 S. Market Street Redding CA , 96001",40.561975,-122.388024,2026-02-03T08:59:28.293611
142,Teamsters LU No 142,Gary,IN,46404,(219) 949-1550,mailbox142@teamsters142.org,https://www.teamsters142.org,Harvey Jackson,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","1300 Clark Road Gary IN , 46404",41.589107,-87.396939,2026-02-03T08:59:28.293613
150,Teamsters LU No 150,Sacramento,CA,95823,(916) 392-7070,teamsters@teamsters150.org,https://www.teamsters150.org,Dale Wentz,Secretary-Treasurer,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Warehouse Division","7120 East Parkway Sacramento CA , 95823",38.497981,-121.451158,2026-02-03T08:59:28.293616
155,Teamsters LU No 155,Vancouver BC,CN,V5T 1X3,(604) 876-8898,team155@teamsters155.org,https://www.teamsters155.org,David Holm,Secretary-Treasurer,Motion Picture and Theratical Trade Division,"490 East Broadway Vancouver BC CN , V5T 1X3",49.262198,-123.093628,2026-02-03T08:59:28.293619
162,Teamsters LU No 162,Portland,OR,97230,(503) 257-0162,,https://www.teamsters162.com,Bob Sleight,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Express Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","1850 NE 162nd Avenue Portland OR , 97230",45.536257,-122.495216,2026-02-03T08:59:28.293621
166,Teamsters LU No 166,Bloomington,CA,92316-0899,,info@teamsters166.com,https://teamsters166.com/,Mike Pharris,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Industrial Trades Division, Passenger Transportation, Public Services and Health Care Division, Warehouse Division","Post Office Box 899 Bloomington CA , 92316-0899",34.43731,-116.919522,2026-02-03T08:59:28.293623
169,Teamsters LU No 169,Elkins Park,PA,19027,(215) 635-1696,ibtlocal169@gmail.com,,Robert Brunner,President,"Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Warehouse Division","1363 W. Cheltenham Av Elkins Park PA , 19027",40.063498,-75.139362,2026-02-03T08:59:28.293626
170,Teamsters LU No 170,Worcester,MA,01604,(508) 799-0551,sgeorge@teamsters170.com,https://www.teamsters170.com,Shannon R. George,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","330 Southwest Cutoff Ste 201 Worcester MA , 01604",42.224779,-71.767271,2026-02-03T08:59:28.293629
171,Teamsters LU No 171,Salem,VA,24153,(540) 375-8870,office@teamster171.org,,Michael T. Robertson,President,"Brewery, Bakery, & Soft Drink, Freight Division, Package Division, Tankhaul Division, Warehouse Division","2550 West Main Street Salem VA , 24153",37.282106,-80.104205,2026-02-03T08:59:28.293631
173,Teamsters LU No 173,Bradenton,FL,34208,(941) 747-2971,president@teamsters173.com,,Richard Alan Zebracki,President,,"824 26th Avenue East Bradenton FL , 34208",27.476428,-82.555487,2026-02-03T08:59:28.293633
174,Teamsters LU No 174,Tukwila,WA,98168-4652,(206) 441-6060,,https://www.teamsters174.net,Rick Hicks,Secretary-Treasurer,"Airline Division, Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Express Division, Food Processing Division, Freight Division, Industrial Trades Division, Motion Picture and Theratical Trade Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","14675 Interurban S303 Tukwila WA , 98168-4652",47.471817,-122.255166,2026-02-03T08:59:28.293635
175,Teamsters LU No 175,South Charleston,WV,25303,(304) 744-2193,info@teamsters175.org,https://www.teamsters175.org,Steve Day,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Convention, Trade Show & Casino Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","267 Staunton Ave SW South Charleston WV , 25303",38.356624,-81.695541,2026-02-03T08:59:28.293639
177,Teamsters LU No 177,Hillside,NJ,07205,(973) 923-7070,TLOCAL177@aol.com,https://www.teamsterslocal177.org,Chris Eltzholtz,Secretary-Treasurer,Package Division,"282 Hillside Avenue Hillside NJ , 07205",40.700659,-74.229032,2026-02-03T08:59:28.293644
179,Teamsters LU No 179,Joliet,IL,60431,(815) 741-2200,local179@sbcglobal.net,https://www.teamsters179.org,Christopher Richter,President,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Industrial Trades Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","1000 NE Frontage Road Joliet IL , 60431",41.540224,-88.178829,2026-02-03T08:59:28.293646
186,Teamsters LU No 186,Ventura,CA,93003,(805) 644-0070,jedlocal186@yahoo.com,https://www.teamsterslocal186.org/,Abel Garcia,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Tankhaul Division, Warehouse Division","1534 Eastman Ave.,#B Ventura CA , 93003",34.258827,-119.229884,2026-02-03T08:59:28.293649
190,Teamsters LU No 190,Billings,MT,59105,(406) 248-2658,jlarson@teamsters190.com,https://www.teamsters190.com,Jim Soumas,Secretary-Treasurer,"Brewery, Bakery, & Soft Drink, Building Material and Construction Trade Division, Food Processing Division, Freight Division, Package Division, Passenger Transportation, Public Services and Health Care Division, Solid Waste and Recycling Division, Tankhaul Division, Warehouse Division","Post Office Box 50969 Billings MT , 59105",45.949726,-108.599037,2026-02-03T08:59:28.293651
